id,expense_id,user_uid,amount,percentage,created_at,updated_at
split_0000000000,sexp_00000000,user_000000,193.59,20.0,,
split_0000000001,sexp_00000000,user_000001,193.59,20.0,,
split_0000000002,sexp_00000000,user_000002,193.59,20.0,,
split_0000000003,sexp_00000000,user_000004,193.59,20.0,,
split_0000000004,sexp_00000000,user_000005,193.59,20.0,,
split_0000000005,sexp_00000001,user_000000,139.89,9.41,,
split_0000000006,sexp_00000001,user_000001,451.96,30.41,,
split_0000000007,sexp_00000001,user_000002,445.81,30.0,,
split_0000000008,sexp_00000001,user_000004,390.02,26.25,,
split_0000000009,sexp_00000001,user_000005,58.36,3.93,,
split_0000000010,sexp_00000002,user_000000,388.44,20.0,,
split_0000000011,sexp_00000002,user_000001,388.44,20.0,,
split_0000000012,sexp_00000002,user_000002,388.44,20.0,,
split_0000000013,sexp_00000002,user_000004,388.44,20.0,,
split_0000000014,sexp_00000002,user_000005,388.43,20.0,,
split_0000000015,sexp_00000003,user_000000,688.86,20.0,,
split_0000000016,sexp_00000003,user_000001,688.86,20.0,,
split_0000000017,sexp_00000003,user_000002,688.86,20.0,,
split_0000000018,sexp_00000003,user_000004,688.86,20.0,,
split_0000000019,sexp_00000003,user_000005,688.86,20.0,,
split_0000000020,sexp_00000004,user_000000,201.74,20.0,,
split_0000000021,sexp_00000004,user_000001,201.74,20.0,,
split_0000000022,sexp_00000004,user_000002,201.74,20.0,,
split_0000000023,sexp_00000004,user_000004,201.74,20.0,,
split_0000000024,sexp_00000004,user_000005,201.75,20.0,,
split_0000000025,sexp_00000005,user_000000,398.3,20.0,,
split_0000000026,sexp_00000005,user_000001,398.3,20.0,,
split_0000000027,sexp_00000005,user_000002,398.3,20.0,,
split_0000000028,sexp_00000005,user_000004,398.3,20.0,,
split_0000000029,sexp_00000005,user_000005,398.31,20.0,,
split_0000000030,sexp_00000006,user_000000,293.13,20.0,,
split_0000000031,sexp_00000006,user_000001,293.13,20.0,,
split_0000000032,sexp_00000006,user_000002,293.13,20.0,,
split_0000000033,sexp_00000006,user_000004,293.13,20.0,,
split_0000000034,sexp_00000006,user_000005,293.14,20.0,,
split_0000000035,sexp_00000007,user_000000,696.02,26.82,,
split_0000000036,sexp_00000007,user_000001,648.01,24.97,,
split_0000000037,sexp_00000007,user_000002,615.28,23.71,,
split_0000000038,sexp_00000007,user_000004,525.66,20.26,,
split_0000000039,sexp_00000007,user_000005,109.9,4.24,,
split_0000000040,sexp_00000008,user_000000,370.99,20.0,,
split_0000000041,sexp_00000008,user_000001,370.99,20.0,,
split_0000000042,sexp_00000008,user_000002,370.99,20.0,,
split_0000000043,sexp_00000008,user_000004,370.99,20.0,,
split_0000000044,sexp_00000008,user_000005,370.98,20.0,,
split_0000000045,sexp_00000009,user_000000,161.62,13.53,,
split_0000000046,sexp_00000009,user_000001,381.23,31.93,,
split_0000000047,sexp_00000009,user_000002,378.7,31.71,,
split_0000000048,sexp_00000009,user_000004,223.02,18.68,,
split_0000000049,sexp_00000009,user_000005,49.55,4.15,,
split_0000000050,sexp_00000010,user_000000,392.5,20.0,,
split_0000000051,sexp_00000010,user_000001,392.5,20.0,,
split_0000000052,sexp_00000010,user_000002,392.5,20.0,,
split_0000000053,sexp_00000010,user_000004,392.5,20.0,,
split_0000000054,sexp_00000010,user_000005,392.5,20.0,,
