id,title,description,amount,category,created_at,updated_at,deleted_at,is_anomaly,roomspace_id,paid_by,split_type
sexp_00000000,Rent,Rent payment,967.95,Rent,2023-01-01 00:00:00.000000,2023-01-01 00:00:00.000000,,False,roomspace_0,user_000000,EQUAL
sexp_00000001,Rent,Rent payment,1486.05,Rent,2023-02-06 16:05:27.708385,2023-02-06 16:05:27.708385,,False,roomspace_0,user_000002,EXACT
sexp_00000002,Rent,Monthly rent,1942.19,Rent,2023-03-17 09:25:20.625985,2023-03-17 09:25:20.625985,,False,roomspace_0,user_000005,EQUAL
sexp_00000003,Rent,Apartment rent,3444.3,Rent,2023-04-18 07:11:45.237456,2023-04-18 07:11:45.237456,,False,roomspace_0,user_000001,EQUAL
sexp_00000004,Rent,Rent payment,1008.71,Rent,2023-05-18 22:33:43.613857,2023-05-18 22:33:43.613857,,False,roomspace_0,user_000004,EQUAL
sexp_00000005,Rent,Monthly rent,1991.51,Rent,2023-06-23 04:56:38.556386,2023-06-23 04:56:38.556386,,False,roomspace_0,user_000004,EQUAL
sexp_00000006,Rent,Rent payment,1465.66,Rent,2023-07-21 22:44:46.495656,2023-07-21 22:44:46.495656,,False,roomspace_0,user_000004,EQUAL
sexp_00000007,Rent,Apartment rent,2594.87,Rent,2023-08-19 23:51:27.798766,2023-08-19 23:51:27.798766,,False,roomspace_0,user_000005,EXACT
sexp_00000008,Rent,Rent payment,1854.94,Rent,2023-09-26 14:50:39.843112,2023-09-26 14:50:39.843112,,False,roomspace_0,user_000004,EQUAL
sexp_00000009,Rent,Apartment rent,1194.12,Rent,2023-10-27 22:34:08.993672,2023-10-27 22:34:08.993672,,False,roomspace_0,user_000005,PERCENTAGE
sexp_00000010,Rent,Rent payment,1962.5,Rent,2023-12-02 04:48:35.917792,2023-12-02 04:48:35.917792,,False,roomspace_0,user_000004,EQUAL
sexp_00000011,Utilities,Electricity bill,239.32,Utilities,2023-01-01 00:00:00.000000,2023-01-01 00:00:00.000000,,False,roomspace_0,user_000004,PERCENTAGE
sexp_00000012,Utilities,Gas bill,101.67,Utilities,2023-02-05 04:24:18.365323,2023-02-05 04:24:18.365323,,False,roomspace_0,user_000005,PERCENTAGE
sexp_00000013,Utilities,Utility payment,132.25,Utilities,2023-03-16 01:01:57.580851,2023-03-16 01:01:57.580851,,False,roomspace_0,user_000004,EQUAL
sexp_00000014,Utilities,Gas bill,139.92,Utilities,2023-04-25 15:49:23.017013,2023-04-25 15:49:23.017013,,False,roomspace_0,user_000000,PERCENTAGE
sexp_00000015,Utilities,Water bill,116.28,Utilities,2023-05-31 22:57:55.280035,2023-05-31 22:57:55.280035,,False,roomspace_0,user_000002,EQUAL
sexp_00000016,Utilities,Utility payment,172.37,Utilities,2023-07-04 19:26:47.996948,2023-07-04 19:26:47.996948,,False,roomspace_0,user_000004,EQUAL
sexp_00000017,Utilities,Electricity bill,209.75,Utilities,2023-08-16 07:08:18.483138,2023-08-16 07:08:18.483138,,False,roomspace_0,user_000000,EQUAL
sexp_00000018,Utilities,[UNUSUAL] Water bill,955.39,Utilities,2023-10-01 17:47:11.020148,2023-10-01 17:47:11.020148,,True,roomspace_0,user_000004,PERCENTAGE
sexp_00000019,Utilities,Electricity bill,246.93,Utilities,2023-11-06 17:04:55.539409,2023-11-06 17:04:55.539409,,False,roomspace_0,user_000004,PERCENTAGE
sexp_00000020,Utilities,Electricity bill,145.39,Utilities,2023-12-15 05:10:50.088718,2023-12-15 05:10:50.088718,,False,roomspace_0,user_000001,EQUAL
sexp_00000021,Internet,WiFi payment,79.37,Internet,2023-01-01 00:00:00.000000,2023-01-01 00:00:00.000000,,False,roomspace_0,user_000004,EQUAL
sexp_00000022,Internet,Broadband,69.5,Internet,2023-01-25 12:54:57.507562,2023-01-25 12:54:57.507562,,False,roomspace_0,user_000005,EQUAL
sexp_00000023,Internet,Internet bill,89.23,Internet,2023-02-20 12:14:56.620919,2023-02-20 12:14:56.620919,,False,roomspace_0,user_000000,EQUAL
sexp_00000024,Internet,Internet bill,48.92,Internet,2023-03-14 11:00:47.902294,2023-03-14 11:00:47.902294,,False,roomspace_0,user_000000,EQUAL
sexp_00000025,Internet,Broadband,76.29,Internet,2023-04-15 21:33:30.633899,2023-04-15 21:33:30.633899,,False,roomspace_0,user_000000,EQUAL
sexp_00000026,Internet,Broadband,54.92,Internet,2023-05-15 12:04:32.137379,2023-05-15 12:04:32.137379,,False,roomspace_0,user_000000,EXACT
sexp_00000027,Internet,Broadband,44.22,Internet,2023-06-10 12:15:05.701020,2023-06-10 12:15:05.701020,,False,roomspace_0,user_000000,EQUAL
sexp_00000028,Internet,Broadband,56.56,Internet,2023-07-12 22:53:40.555428,2023-07-12 22:53:40.555428,,False,roomspace_0,user_000004,PERCENTAGE
sexp_00000029,Internet,WiFi payment,79.97,Internet,2023-08-06 11:02:49.311912,2023-08-06 11:02:49.311912,,False,roomspace_0,user_000004,EQUAL
sexp_00000030,Internet,WiFi payment,68.69,Internet,2023-09-08 02:48:37.240200,2023-09-08 02:48:37.240200,,False,roomspace_0,user_000000,EQUAL
sexp_00000031,Internet,Broadband,50.42,Internet,2023-10-02 02:24:15.510774,2023-10-02 02:24:15.510774,,False,roomspace_0,user_000005,PERCENTAGE
sexp_00000032,Internet,Internet bill,95.39,Internet,2023-10-31 22:19:24.931539,2023-10-31 22:19:24.931539,,False,roomspace_0,user_000005,EQUAL
sexp_00000033,Internet,Broadband,50.51,Internet,2023-11-23 18:22:41.924497,2023-11-23 18:22:41.924497,,False,roomspace_0,user_000002,EQUAL
sexp_00000034,Internet,Broadband,76.13,Internet,2023-12-22 20:09:20.613199,2023-12-22 20:09:20.613199,,False,roomspace_0,user_000000,EQUAL
sexp_00000035,Groceries,Target groceries,54.66,Groceries,2023-01-01 00:00:00.000000,2023-01-01 00:00:00.000000,,False,roomspace_0,user_000000,EQUAL
sexp_00000036,Groceries,Local supermarket,257.83,Groceries,2023-01-09 08:34:22.510491,2023-01-09 08:34:22.510491,,False,roomspace_0,user_000001,EQUAL
sexp_00000037,Groceries,Weekly groceries,172.52,Groceries,2023-01-17 05:10:49.178901,2023-01-17 05:10:49.178901,,False,roomspace_0,user_000000,EQUAL
sexp_00000038,Groceries,Target groceries,60.64,Groceries,2023-01-25 12:34:37.994960,2023-01-25 12:34:37.994960,,False,roomspace_0,user_000000,EQUAL
sexp_00000039,Groceries,Whole Foods,192.93,Groceries,2023-02-02 17:52:44.524444,2023-02-02 17:52:44.524444,,False,roomspace_0,user_000005,EQUAL
sexp_00000040,Groceries,Weekly groceries,117.2,Groceries,2023-02-11 03:26:25.162163,2023-02-11 03:26:25.162163,,False,roomspace_0,user_000002,PERCENTAGE
sexp_00000041,Groceries,Target groceries,88.47,Groceries,2023-02-19 17:51:56.310450,2023-02-19 17:51:56.310450,,False,roomspace_0,user_000005,EXACT
sexp_00000042,Groceries,[UNUSUAL] Target groceries,312.76,Groceries,2023-02-27 09:20:48.462703,2023-02-27 09:20:48.462703,,True,roomspace_0,user_000002,EQUAL
sexp_00000043,Groceries,Whole Foods,263.03,Groceries,2023-03-08 01:58:24.144550,2023-03-08 01:58:24.144550,,False,roomspace_0,user_000001,EQUAL
sexp_00000044,Groceries,Weekly groceries,44.48,Groceries,2023-03-15 00:41:46.242524,2023-03-15 00:41:46.242524,,False,roomspace_0,user_000002,EXACT
sexp_00000045,Groceries,Costco shopping,167.55,Groceries,2023-03-23 08:01:27.855406,2023-03-23 08:01:27.855406,,False,roomspace_0,user_000005,EQUAL
sexp_00000046,Groceries,Local supermarket,97.68,Groceries,2023-03-30 03:17:17.989446,2023-03-30 03:17:17.989446,,False,roomspace_0,user_000001,EQUAL
sexp_00000047,Groceries,Costco shopping,41.97,Groceries,2023-04-08 11:15:48.304853,2023-04-08 11:15:48.304853,,False,roomspace_0,user_000002,PERCENTAGE
sexp_00000048,Groceries,Weekly groceries,90.77,Groceries,2023-04-15 11:30:42.077251,2023-04-15 11:30:42.077251,,False,roomspace_0,user_000004,PERCENTAGE
sexp_00000049,Groceries,Weekly groceries,122.6,Groceries,2023-04-24 22:30:44.495335,2023-04-24 22:30:44.495335,,False,roomspace_0,user_000000,EQUAL
sexp_00000050,Groceries,Target groceries,169.57,Groceries,2023-05-02 04:28:21.265875,2023-05-02 04:28:21.265875,,False,roomspace_0,user_000000,PERCENTAGE
sexp_00000051,Groceries,Walmart groceries,294.23,Groceries,2023-05-10 08:48:44.204290,2023-05-10 08:48:44.204290,,False,roomspace_0,user_000001,EQUAL
sexp_00000052,Groceries,Local supermarket,69.37,Groceries,2023-05-17 06:36:35.899724,2023-05-17 06:36:35.899724,,False,roomspace_0,user_000000,EQUAL
sexp_00000053,Groceries,Target groceries,120.87,Groceries,2023-05-25 17:42:54.828699,2023-05-25 17:42:54.828699,,False,roomspace_0,user_000001,PERCENTAGE
sexp_00000054,Groceries,Whole Foods,104.75,Groceries,2023-06-04 01:46:39.731200,2023-06-04 01:46:39.731200,,False,roomspace_0,user_000005,EQUAL
sexp_00000055,Groceries,Walmart groceries,45.54,Groceries,2023-06-12 19:44:55.029179,2023-06-12 19:44:55.029179,,False,roomspace_0,user_000002,EQUAL
sexp_00000056,Groceries,Costco shopping,145.86,Groceries,2023-06-21 03:17:01.986978,2023-06-21 03:17:01.986978,,False,roomspace_0,user_000004,EQUAL
sexp_00000057,Groceries,Costco shopping,201.65,Groceries,2023-06-30 00:40:57.901006,2023-06-30 00:40:57.901006,,False,roomspace_0,user_000001,EXACT
sexp_00000058,Groceries,Target groceries,64.59,Groceries,2023-07-07 10:53:51.959038,2023-07-07 10:53:51.959038,,False,roomspace_0,user_000005,EXACT
sexp_00000059,Groceries,Whole Foods,63.41,Groceries,2023-07-15 05:50:07.455045,2023-07-15 05:50:07.455045,,False,roomspace_0,user_000000,EQUAL
sexp_00000060,Groceries,Costco shopping,172.31,Groceries,2023-07-23 19:42:03.500213,2023-07-23 19:42:03.500213,,False,roomspace_0,user_000005,EQUAL
sexp_00000061,Groceries,Costco shopping,138.35,Groceries,2023-07-30 15:17:46.413743,2023-07-30 15:17:46.413743,,False,roomspace_0,user_000004,EQUAL
sexp_00000062,Groceries,Local supermarket,48.99,Groceries,2023-08-09 06:46:39.131146,2023-08-09 06:46:39.131146,,False,roomspace_0,user_000000,PERCENTAGE
sexp_00000063,Groceries,Walmart groceries,40.68,Groceries,2023-08-16 13:15:49.695853,2023-08-16 13:15:49.695853,,False,roomspace_0,user_000002,EQUAL
sexp_00000064,Groceries,Costco shopping,58.24,Groceries,2023-08-24 18:04:49.009430,2023-08-24 18:04:49.009430,,False,roomspace_0,user_000002,PERCENTAGE
sexp_00000065,Groceries,Costco shopping,139.35,Groceries,2023-09-03 06:21:59.801646,2023-09-03 06:21:59.801646,,False,roomspace_0,user_000005,EQUAL
sexp_00000066,Groceries,Walmart groceries,150.94,Groceries,2023-09-10 02:40:45.815692,2023-09-10 02:40:45.815692,,False,roomspace_0,user_000004,EQUAL
sexp_00000067,Groceries,Walmart groceries,270.44,Groceries,2023-09-19 07:57:17.438714,2023-09-19 07:57:17.438714,,False,roomspace_0,user_000001,EXACT
sexp_00000068,Groceries,Weekly groceries,93.44,Groceries,2023-09-26 02:44:46.998314,2023-09-26 02:44:46.998314,,False,roomspace_0,user_000000,EQUAL
sexp_00000069,Groceries,Costco shopping,137.38,Groceries,2023-10-04 12:49:31.005058,2023-10-04 12:49:31.005058,,False,roomspace_0,user_000002,EQUAL
sexp_00000070,Groceries,Local supermarket,183.87,Groceries,2023-10-14 04:56:28.203809,2023-10-14 04:56:28.203809,,False,roomspace_0,user_000000,EQUAL
sexp_00000071,Groceries,[UNUSUAL] Weekly groceries,1141.39,Groceries,2023-10-22 03:47:49.380639,2023-10-22 03:47:49.380639,,True,roomspace_0,user_000005,EQUAL
sexp_00000072,Groceries,Weekly groceries,114.94,Groceries,2023-10-29 22:56:56.899754,2023-10-29 22:56:56.899754,,False,roomspace_0,user_000004,EQUAL
sexp_00000073,Groceries,Whole Foods,384.99,Groceries,2023-11-07 20:54:37.627595,2023-11-07 20:54:37.627595,,False,roomspace_0,user_000001,EQUAL
sexp_00000074,Groceries,Walmart groceries,218.24,Groceries,2023-11-17 03:58:23.087708,2023-11-17 03:58:23.087708,,False,roomspace_0,user_000004,EXACT
sexp_00000075,Groceries,Weekly groceries,135.14,Groceries,2023-11-24 14:58:06.129103,2023-11-24 14:58:06.129103,,False,roomspace_0,user_000001,PERCENTAGE
sexp_00000076,Groceries,Weekly groceries,207.19,Groceries,2023-12-01 08:10:34.443712,2023-12-01 08:10:34.443712,,False,roomspace_0,user_000005,EQUAL
sexp_00000077,Groceries,Local supermarket,93.5,Groceries,2023-12-08 03:43:59.190009,2023-12-08 03:43:59.190009,,False,roomspace_0,user_000005,EQUAL
