user_id,spending_cluster
NPU_00001,2
NPU_00002,2
NPU_00003,3
NPU_00004,4
NPU_00005,4
NPU_00006,3
NPU_00007,6
NPU_00008,0
NPU_00009,6
NPU_00010,2
NPU_00011,5
NPU_00012,2
NPU_00013,4
NPU_00014,4
NPU_00015,2
NPU_00016,1
NPU_00017,3
NPU_00018,6
NPU_00019,0
NPU_00020,5
NPU_00021,5
NPU_00022,6
NPU_00023,5
NPU_00024,6
NPU_00025,6
NPU_00026,5
NPU_00027,3
NPU_00028,5
NPU_00029,3
NPU_00030,6
NPU_00031,2
NPU_00032,5
NPU_00033,4
NPU_00034,2
NPU_00035,3
NPU_00036,5
NPU_00037,4
NPU_00038,0
NPU_00039,3
NPU_00040,5
NPU_00041,5
NPU_00042,4
NPU_00043,6
NPU_00044,4
NPU_00045,5
NPU_00046,6
NPU_00047,2
NPU_00048,6
NPU_00049,6
NPU_00050,3
NPU_00051,4
NPU_00052,5
NPU_00053,1
NPU_00054,3
NPU_00055,2
NPU_00056,5
NPU_00057,6
NPU_00058,0
NPU_00059,3
NPU_00060,0
NPU_00061,5
NPU_00062,6
NPU_00063,2
NPU_00064,6
NPU_00065,5
NPU_00066,4
NPU_00067,2
NPU_00068,5
NPU_00069,5
NPU_00070,3
NPU_00071,1
NPU_00072,4
NPU_00073,6
NPU_00074,5
NPU_00075,0
NPU_00076,3
NPU_00077,4
NPU_00078,5
NPU_00079,0
NPU_00080,0
NPU_00081,3
NPU_00082,4
NPU_00083,3
NPU_00084,5
NPU_00085,0
NPU_00086,4
NPU_00087,6
NPU_00088,5
NPU_00089,6
NPU_00090,2
NPU_00091,3
NPU_00092,2
NPU_00093,4
NPU_00094,5
NPU_00095,5
NPU_00096,6
NPU_00097,5
NPU_00098,3
NPU_00099,5
NPU_00100,6
NPU_00101,4
NPU_00102,4
NPU_00103,0
NPU_00104,5
NPU_00105,3
NPU_00106,4
NPU_00107,6
NPU_00108,3
NPU_00109,6
NPU_00110,4
NPU_00111,6
NPU_00112,2
NPU_00113,2
NPU_00114,2
NPU_00115,6
NPU_00116,0
NPU_00117,4
NPU_00118,0
NPU_00119,5
NPU_00120,5
NPU_00121,3
NPU_00122,4
NPU_00123,6
NPU_00124,5
NPU_00125,2
NPU_00126,5
NPU_00127,6
NPU_00128,5
NPU_00129,4
NPU_00130,0
NPU_00131,6
NPU_00132,5
NPU_00133,4
NPU_00134,4
NPU_00135,6
NPU_00136,6
NPU_00137,3
NPU_00138,4
NPU_00139,1
NPU_00140,4
NPU_00141,2
NPU_00142,4
NPU_00143,6
NPU_00144,6
NPU_00145,2
NPU_00146,0
NPU_00147,1
NPU_00148,6
NPU_00149,6
NPU_00150,4
NPU_00151,0
NPU_00152,6
NPU_00153,1
NPU_00154,5
NPU_00155,4
NPU_00156,6
NPU_00157,4
NPU_00158,0
NPU_00159,6
NPU_00160,3
NPU_00161,3
NPU_00162,6
NPU_00163,5
NPU_00164,1
NPU_00165,3
NPU_00166,3
NPU_00167,6
NPU_00168,2
NPU_00169,2
NPU_00170,3
NPU_00171,5
NPU_00172,6
NPU_00173,2
NPU_00174,1
NPU_00175,3
NPU_00176,6
NPU_00177,6
NPU_00178,3
NPU_00179,2
NPU_00180,6
NPU_00181,4
NPU_00182,5
NPU_00183,3
NPU_00184,5
NPU_00185,4
NPU_00186,2
NPU_00187,6
NPU_00188,4
NPU_00189,4
NPU_00190,0
NPU_00191,0
NPU_00192,3
NPU_00193,3
NPU_00194,3
NPU_00195,6
NPU_00196,4
NPU_00197,6
NPU_00198,3
NPU_00199,6
NPU_00200,2
NPU_00201,6
NPU_00202,4
NPU_00203,1
NPU_00204,0
NPU_00205,4
NPU_00206,4
NPU_00207,5
NPU_00208,6
NPU_00209,3
NPU_00210,4
NPU_00211,4
NPU_00212,2
NPU_00213,5
NPU_00214,4
NPU_00215,4
NPU_00216,4
NPU_00217,5
NPU_00218,4
NPU_00219,5
NPU_00220,6
NPU_00221,4
NPU_00222,6
NPU_00223,5
NPU_00224,6
NPU_00225,6
NPU_00226,4
NPU_00227,3
NPU_00228,5
NPU_00229,5
NPU_00230,4
NPU_00231,6
NPU_00232,5
NPU_00233,3
NPU_00234,6
NPU_00235,3
NPU_00236,3
NPU_00237,4
NPU_00238,4
NPU_00239,6
NPU_00240,6
NPU_00241,2
NPU_00242,3
NPU_00243,2
NPU_00244,5
NPU_00245,6
NPU_00246,0
NPU_00247,4
NPU_00248,5
NPU_00249,6
NPU_00250,6
NPU_00251,4
NPU_00252,6
NPU_00253,3
NPU_00254,4
NPU_00255,1
NPU_00256,5
NPU_00257,4
NPU_00258,3
NPU_00259,3
NPU_00260,5
NPU_00261,5
NPU_00262,3
NPU_00263,6
NPU_00264,3
NPU_00265,5
NPU_00266,2
NPU_00267,5
NPU_00268,6
NPU_00269,0
NPU_00270,4
NPU_00271,0
NPU_00272,4
NPU_00273,2
NPU_00274,0
NPU_00275,5
NPU_00276,2
NPU_00277,5
NPU_00278,1
NPU_00279,3
NPU_00280,6
NPU_00281,4
NPU_00282,5
NPU_00283,6
NPU_00284,1
NPU_00285,3
NPU_00286,4
NPU_00287,5
NPU_00288,6
NPU_00289,6
NPU_00290,6
NPU_00291,3
NPU_00292,2
NPU_00293,4
NPU_00294,2
NPU_00295,6
NPU_00296,0
NPU_00297,3
NPU_00298,3
NPU_00299,2
NPU_00300,5
