user_id,spending_cluster
NPU_00001,1
NPU_00002,1
NPU_00003,3
NPU_00004,5
NPU_00005,5
NPU_00006,0
NPU_00007,0
NPU_00008,6
NPU_00009,0
NPU_00010,1
NPU_00011,2
NPU_00012,1
NPU_00013,5
NPU_00014,4
NPU_00015,1
NPU_00016,4
NPU_00017,2
NPU_00018,0
NPU_00019,6
NPU_00020,3
NPU_00021,3
NPU_00022,0
NPU_00023,0
NPU_00024,0
NPU_00025,0
NPU_00026,0
NPU_00027,3
NPU_00028,3
NPU_00029,3
NPU_00030,2
NPU_00031,1
NPU_00032,3
NPU_00033,0
NPU_00034,1
NPU_00035,0
NPU_00036,2
NPU_00037,0
NPU_00038,6
NPU_00039,2
NPU_00040,3
NPU_00041,3
NPU_00042,4
NPU_00043,0
NPU_00044,2
NPU_00045,2
NPU_00046,3
NPU_00047,1
NPU_00048,0
NPU_00049,0
NPU_00050,3
NPU_00051,0
NPU_00052,3
NPU_00053,4
NPU_00054,3
NPU_00055,1
NPU_00056,0
NPU_00057,0
NPU_00058,6
NPU_00059,3
NPU_00060,6
NPU_00061,0
NPU_00062,0
NPU_00063,1
NPU_00064,0
NPU_00065,3
NPU_00066,5
NPU_00067,1
NPU_00068,0
NPU_00069,2
NPU_00070,0
NPU_00071,5
NPU_00072,5
NPU_00073,3
NPU_00074,2
NPU_00075,6
NPU_00076,2
NPU_00077,5
NPU_00078,3
NPU_00079,2
NPU_00080,6
