user_id,spending_cluster,cluster_name
NPU_00001,1,cluster_1_family_support_daily$8446
NPU_00002,2,cluster_2_rent_daily$11564
NPU_00003,5,cluster_5_family_support_daily$7136
NPU_00004,2,cluster_2_rent_daily$11564
NPU_00005,2,cluster_2_rent_daily$11564
NPU_00006,0,cluster_0_rent_daily$11772
NPU_00007,0,cluster_0_rent_daily$11772
NPU_00008,3,cluster_3_family_support_daily$9467
NPU_00009,2,cluster_2_rent_daily$11564
NPU_00010,2,cluster_2_rent_daily$11564
NPU_00011,3,cluster_3_family_support_daily$9467
NPU_00012,2,cluster_2_rent_daily$11564
NPU_00013,2,cluster_2_rent_daily$11564
NPU_00014,1,cluster_1_family_support_daily$8446
NPU_00015,2,cluster_2_rent_daily$11564
NPU_00016,5,cluster_5_family_support_daily$7136
NPU_00017,3,cluster_3_family_support_daily$9467
NPU_00018,4,cluster_4_family_support_daily$9345
NPU_00019,0,cluster_0_rent_daily$11772
NPU_00020,2,cluster_2_rent_daily$11564
NPU_00021,4,cluster_4_family_support_daily$9345
NPU_00022,0,cluster_0_rent_daily$11772
NPU_00023,2,cluster_2_rent_daily$11564
NPU_00024,0,cluster_0_rent_daily$11772
NPU_00025,2,cluster_2_rent_daily$11564
NPU_00026,2,cluster_2_rent_daily$11564
NPU_00027,5,cluster_5_family_support_daily$7136
NPU_00028,5,cluster_5_family_support_daily$7136
NPU_00029,3,cluster_3_family_support_daily$9467
NPU_00030,4,cluster_4_family_support_daily$9345
NPU_00031,2,cluster_2_rent_daily$11564
NPU_00032,5,cluster_5_family_support_daily$7136
NPU_00033,2,cluster_2_rent_daily$11564
NPU_00034,5,cluster_5_family_support_daily$7136
NPU_00035,0,cluster_0_rent_daily$11772
NPU_00036,5,cluster_5_family_support_daily$7136
NPU_00037,2,cluster_2_rent_daily$11564
NPU_00038,3,cluster_3_family_support_daily$9467
NPU_00039,0,cluster_0_rent_daily$11772
NPU_00040,5,cluster_5_family_support_daily$7136
NPU_00041,5,cluster_5_family_support_daily$7136
NPU_00042,4,cluster_4_family_support_daily$9345
NPU_00043,2,cluster_2_rent_daily$11564
NPU_00044,4,cluster_4_family_support_daily$9345
NPU_00045,1,cluster_1_family_support_daily$8446
NPU_00046,5,cluster_5_family_support_daily$7136
NPU_00047,5,cluster_5_family_support_daily$7136
NPU_00048,0,cluster_0_rent_daily$11772
NPU_00049,0,cluster_0_rent_daily$11772
NPU_00050,3,cluster_3_family_support_daily$9467
NPU_00051,2,cluster_2_rent_daily$11564
NPU_00052,5,cluster_5_family_support_daily$7136
NPU_00053,1,cluster_1_family_support_daily$8446
NPU_00054,4,cluster_4_family_support_daily$9345
NPU_00055,2,cluster_2_rent_daily$11564
NPU_00056,2,cluster_2_rent_daily$11564
NPU_00057,2,cluster_2_rent_daily$11564
NPU_00058,3,cluster_3_family_support_daily$9467
NPU_00059,3,cluster_3_family_support_daily$9467
NPU_00060,3,cluster_3_family_support_daily$9467
NPU_00061,2,cluster_2_rent_daily$11564
NPU_00062,4,cluster_4_family_support_daily$9345
NPU_00063,2,cluster_2_rent_daily$11564
NPU_00064,0,cluster_0_rent_daily$11772
NPU_00065,4,cluster_4_family_support_daily$9345
NPU_00066,2,cluster_2_rent_daily$11564
NPU_00067,2,cluster_2_rent_daily$11564
NPU_00068,1,cluster_1_family_support_daily$8446
NPU_00069,3,cluster_3_family_support_daily$9467
NPU_00070,4,cluster_4_family_support_daily$9345
NPU_00071,1,cluster_1_family_support_daily$8446
NPU_00072,2,cluster_2_rent_daily$11564
NPU_00073,1,cluster_1_family_support_daily$8446
NPU_00074,1,cluster_1_family_support_daily$8446
NPU_00075,0,cluster_0_rent_daily$11772
NPU_00076,3,cluster_3_family_support_daily$9467
NPU_00077,2,cluster_2_rent_daily$11564
NPU_00078,4,cluster_4_family_support_daily$9345
NPU_00079,3,cluster_3_family_support_daily$9467
NPU_00080,0,cluster_0_rent_daily$11772
NPU_00081,3,cluster_3_family_support_daily$9467
NPU_00082,2,cluster_2_rent_daily$11564
NPU_00083,4,cluster_4_family_support_daily$9345
NPU_00084,3,cluster_3_family_support_daily$9467
NPU_00085,0,cluster_0_rent_daily$11772
NPU_00086,2,cluster_2_rent_daily$11564
NPU_00087,5,cluster_5_family_support_daily$7136
NPU_00088,0,cluster_0_rent_daily$11772
NPU_00089,2,cluster_2_rent_daily$11564
NPU_00090,2,cluster_2_rent_daily$11564
NPU_00091,5,cluster_5_family_support_daily$7136
NPU_00092,2,cluster_2_rent_daily$11564
NPU_00093,2,cluster_2_rent_daily$11564
NPU_00094,4,cluster_4_family_support_daily$9345
NPU_00095,5,cluster_5_family_support_daily$7136
NPU_00096,1,cluster_1_family_support_daily$8446
NPU_00097,0,cluster_0_rent_daily$11772
NPU_00098,3,cluster_3_family_support_daily$9467
NPU_00099,1,cluster_1_family_support_daily$8446
NPU_00100,5,cluster_5_family_support_daily$7136
NPU_00101,4,cluster_4_family_support_daily$9345
NPU_00102,5,cluster_5_family_support_daily$7136
NPU_00103,0,cluster_0_rent_daily$11772
NPU_00104,4,cluster_4_family_support_daily$9345
NPU_00105,1,cluster_1_family_support_daily$8446
NPU_00106,2,cluster_2_rent_daily$11564
NPU_00107,2,cluster_2_rent_daily$11564
NPU_00108,4,cluster_4_family_support_daily$9345
NPU_00109,4,cluster_4_family_support_daily$9345
NPU_00110,1,cluster_1_family_support_daily$8446
NPU_00111,0,cluster_0_rent_daily$11772
NPU_00112,2,cluster_2_rent_daily$11564
NPU_00113,2,cluster_2_rent_daily$11564
NPU_00114,4,cluster_4_family_support_daily$9345
NPU_00115,5,cluster_5_family_support_daily$7136
NPU_00116,3,cluster_3_family_support_daily$9467
NPU_00117,1,cluster_1_family_support_daily$8446
