year_month,total_expenses,total_amount,avg_amount,unique_users
2016-01,408,138372.75,339.14889705882354,19
2016-02,1072,248114.49,231.45008395522387,40
2016-03,2248,408548.75,181.73876779359432,67
2016-04,2806,539859.71,192.39476478973626,75
2016-05,3590,693403.64,193.14864623955432,96
2016-06,4398,1143098.9,259.9133469758981,111
2016-07,5692,1241437.56,218.10217146872805,135
2016-08,6384,1259602.5,197.3061560150376,159
2016-09,6589,1378803.83,209.25843527090606,182
2016-10,8111,1675744.03,206.60140919738626,204
2016-11,9088,2057535.92,226.4013996478873,215
2016-12,11293,2752909.2,243.77129195076597,234
2017-01,9432,1771254.49,187.7920366836302,253
2017-02,9744,2157061.95,221.37335283251232,268
2017-03,11568,2481957.95,214.55376469571232,278
2017-04,12076,2590322.85,214.50172656508778,292
2017-05,13203,2790033.15,211.3181208816178,312
2017-06,14888,3508838.22,235.68230924234285,333
2017-07,16911,3808272.31,225.19498019040861,354
2017-08,16801,3628019.03,215.94066007975715,368
2017-09,15681,3123707.34,199.2033250430457,379
2017-10,16653,3394525.25,203.83866270341682,389
2017-11,18446,4399896.89,238.52850970400084,398
2017-12,21882,5659435.01,258.63426606343114,415
2018-01,17112,3593523.46,210.00020219728844,428
2018-02,17715,4096353.38,231.23643127293255,443
2018-03,20575,4497094.44,218.57081117861483,459
2018-04,21274,4757220.41,223.61664050014102,470
2018-05,22594,4887040.57,216.29815747543597,479
2018-06,23859,6101314.56,255.72381742738588,486
2018-07,24861,6020312.7700000005,242.1589143638631,495
2018-08,24650,5905932.04,239.5915634888438,506
2018-09,22191,4802846.43,216.43217655806407,520
2018-10,23877,4693618.85,196.5748984378272,531
2018-11,26406,6092147.34,230.71072256305385,540
2018-12,30838,8296280.55,269.0278406511447,554
2019-01,24162,4880966.74,202.01004635377868,571
2019-02,24177,5187870.93,214.5787703188981,577
2019-03,27751,5788004.74,208.5692313790494,583
2019-04,27163,5980345.43,220.16513014026432,596
2019-05,30455,6690686.37,219.69090034477097,610
2019-06,31670,7317617.42,231.0583334385854,619
2019-07,32865,7613398.06,231.6567186977027,627
2019-08,32552,8476598.08,260.4017596461047,632
2019-09,28668,6088311.07,212.37306648527976,638
2019-10,30844,6472658.3,209.85145571261833,651
2019-11,34451,7988455.85,231.87878000638588,667
2019-12,39297,9915181.6,252.3139578084841,673
2020-01,31280,6664215.56,213.05036956521738,682
2020-02,31417,7064925.4,224.87587611802527,688
2020-03,34670,8129408.29,234.47961609460629,697
2020-04,33645,8712272.67,258.9470254123941,698
2020-05,36800,8371307.81,227.48119048913043,704
2020-06,37540,8872570.57,236.3497754395312,709
2020-07,39517,9214685.88,233.18282966824407,721
2020-08,39121,9408209.15,240.4899964213594,735
2020-09,35084,6813115.37,194.19437264850075,743
2020-10,38070,8721036.0,229.0789598108747,755
2020-11,41198,10016880.94,243.13998106704207,755
2020-12,46046,13121217.61,284.9589021847717,767
2021-01,37962,8443115.92,222.40967072335494,781
2021-02,36327,7806657.96,214.89960525229168,783
2021-03,40416,8922332.76,220.7623901425178,787
2021-04,40651,9200434.04,226.32737300435411,793
2021-05,42826,10440735.25,243.79431303413813,795
2021-06,44631,10580117.93,237.05760413165737,800
2021-07,46742,12090732.33,258.6695547901245,807
2021-08,44905,10605405.88,236.174276361207,817
2021-09,40466,10577093.37,261.3822312558691,827
2021-10,44048,10366229.79,235.33939770250635,831
2021-11,45668,11464030.82,251.0298419024262,835
