membership_id,group_id,user_id,joined_date,left_date,role,share_percentage
MEM_000001,GRP_0001,USR_0543,2018-02-22,,admin,0.1768
MEM_000002,GRP_0001,USR_0260,2018-02-22,,member,0.0563
MEM_000003,GRP_0001,USR_0450,2018-02-24,2022-03-20,member,0.3051
MEM_000004,GRP_0001,USR_0719,2018-02-10,,member,0.0522
MEM_000005,GRP_0001,USR_0491,2018-02-20,,member,0.2341
MEM_000006,GRP_0002,USR_0475,2021-05-18,2021-07-26,admin,0.2853
MEM_000007,GRP_0002,USR_0147,2021-05-13,2021-06-23,member,0.3348
MEM_000008,GRP_0002,USR_0290,2021-06-04,,member,0.3731
MEM_000009,GRP_0002,USR_0543,2021-06-02,2021-09-03,member,0.3001
MEM_000010,GRP_0002,USR_0348,2021-06-05,,member,0.1939
MEM_000011,GRP_0002,USR_0163,2021-06-03,2022-01-07,member,0.2619
MEM_000012,GRP_0002,USR_0993,2021-05-10,,member,0.0601
MEM_000013,GRP_0002,USR_0260,2021-06-06,2021-07-07,member,0.3952
MEM_000014,GRP_0003,USR_0515,2022-01-30,,admin,0.1429
MEM_000015,GRP_0003,USR_0969,2022-01-10,,member,0.1429
MEM_000016,GRP_0003,USR_0779,2022-01-30,,member,0.1429
MEM_000017,GRP_0003,USR_0700,2022-01-16,,member,0.1429
MEM_000018,GRP_0003,USR_0366,2022-01-29,,member,0.1429
MEM_000019,GRP_0003,USR_0446,2022-01-21,,member,0.1429
MEM_000020,GRP_0003,USR_0965,2022-02-04,,member,0.1429
MEM_000021,GRP_0004,USR_0214,2022-07-17,,admin,0.1667
MEM_000022,GRP_0004,USR_0567,2022-08-08,,member,0.1667
MEM_000023,GRP_0004,USR_0887,2022-08-03,,member,0.1667
MEM_000024,GRP_0004,USR_0316,2022-07-23,,member,0.1667
MEM_000025,GRP_0004,USR_0968,2022-07-29,,member,0.1667
MEM_000026,GRP_0004,USR_0554,2022-07-12,,member,0.1667
MEM_000027,GRP_0005,USR_0089,2019-04-18,,admin,0.5
MEM_000028,GRP_0005,USR_0649,2019-04-03,,member,0.5
MEM_000029,GRP_0006,USR_0856,2019-09-30,,admin,0.2726
MEM_000030,GRP_0006,USR_0775,2019-10-07,,member,0.2363
MEM_000031,GRP_0007,USR_0341,2020-02-05,,admin,0.3521
MEM_000032,GRP_0007,USR_0471,2020-01-16,,member,0.1365
MEM_000033,GRP_0007,USR_0745,2020-01-17,,member,0.2193
MEM_000034,GRP_0008,USR_0458,2021-12-26,,admin,0.3429
MEM_000035,GRP_0008,USR_0150,2022-01-19,,member,0.2536
MEM_000036,GRP_0008,USR_0877,2022-01-07,,member,0.3695
MEM_000037,GRP_0008,USR_0630,2022-01-07,,member,0.2584
MEM_000038,GRP_0008,USR_0452,2022-01-10,,member,0.2029
MEM_000039,GRP_0009,USR_0541,2022-02-13,2024-10-04,admin,0.3519
MEM_000040,GRP_0009,USR_0724,2022-02-08,,member,0.1966
MEM_000041,GRP_0009,USR_0649,2022-02-08,,member,0.3644
MEM_000042,GRP_0009,USR_0535,2022-02-26,,member,0.1883
MEM_000043,GRP_0009,USR_0702,2022-03-01,,member,0.1313
MEM_000044,GRP_0009,USR_0653,2022-02-22,2022-11-18,member,0.2154
MEM_000045,GRP_0010,USR_0714,2019-03-04,,admin,0.1429
MEM_000046,GRP_0010,USR_0729,2019-02-14,,member,0.1429
MEM_000047,GRP_0010,USR_0116,2019-02-25,,member,0.1429
MEM_000048,GRP_0010,USR_0971,2019-03-10,2019-07-03,member,0.1429
MEM_000049,GRP_0010,USR_0067,2019-02-23,,member,0.1429
MEM_000050,GRP_0010,USR_0492,2019-02-25,,member,0.1429
MEM_000051,GRP_0010,USR_0125,2019-03-08,,member,0.1429
MEM_000052,GRP_0011,USR_0037,2023-08-02,,admin,0.3333
MEM_000053,GRP_0011,USR_0612,2023-07-14,,member,0.3333
MEM_000054,GRP_0011,USR_0577,2023-07-30,,member,0.3333
MEM_000055,GRP_0012,USR_0353,2020-05-03,2021-05-07,admin,0.2556
MEM_000056,GRP_0012,USR_0577,2020-05-16,,member,0.2828
MEM_000057,GRP_0013,USR_0077,2019-01-19,,admin,0.125
MEM_000058,GRP_0013,USR_0648,2019-01-25,,member,0.125
MEM_000059,GRP_0013,USR_0333,2019-01-08,,member,0.125
MEM_000060,GRP_0013,USR_0234,2019-01-08,,member,0.125
MEM_000061,GRP_0013,USR_0041,2019-01-20,,member,0.125
MEM_000062,GRP_0013,USR_0002,2019-01-07,,member,0.125
MEM_000063,GRP_0013,USR_0095,2019-01-24,,member,0.125
MEM_000064,GRP_0013,USR_0351,2019-01-10,2021-07-24,member,0.125
MEM_000065,GRP_0014,USR_0496,2025-12-28,,admin,0.3333
MEM_000066,GRP_0014,USR_0908,2025-12-21,,member,0.3333
MEM_000067,GRP_0014,USR_0040,2025-12-31,,member,0.3333
MEM_000068,GRP_0015,USR_0836,2016-03-25,,admin,0.2
MEM_000069,GRP_0015,USR_0398,2016-03-18,2017-01-09,member,0.2
MEM_000070,GRP_0015,USR_0582,2016-03-08,2017-09-30,member,0.2
