group_id,name,group_type,created_date,status,default_split_method,description
GRP_0001,Weekend Warriors,friends,2018-01-28,ended,percentage,friends group
GRP_0002,Floor 97 Gang,office,2021-05-09,ended,percentage,office group
GRP_0003,Movie Night Gang,friends,2022-01-08,ended,equal,friends group
GRP_0004,The Squad 17,friends,2022-07-11,active,equal,friends group
GRP_0005,The Residents 50,household,2019-03-28,ended,equal,household group
GRP_0006,The Residents 74,household,2019-09-17,dormant,percentage,household group
GRP_0007,Group80 Household,household,2020-01-13,active,percentage,household group
GRP_0008,Room 13 Crew,household,2021-12-26,active,custom,household group
GRP_0009,Coffee Fund,office,2022-02-07,dormant,percentage,office group
GRP_0010,Weekend Warriors,friends,2019-02-12,ended,equal,friends group
GRP_0011,Project Group59 59,project,2023-07-10,ended,equal,project group
GRP_0012,Wanderlust 47,travel,2020-04-25,ended,custom,travel group
GRP_0013,Team 32,office,2019-01-05,ended,equal,office group
GRP_0014,The Residents 86,household,2025-12-12,active,equal,household group
GRP_0015,Group48's Crew,friends,2016-03-03,ended,equal,friends group
GRP_0016,Room 22 Crew,household,2022-08-30,active,equal,household group
GRP_0017,Foodie Friends,friends,2018-05-21,ended,equal,friends group
GRP_0018,Working Group 50,project,2022-02-02,ended,percentage,project group
GRP_0019,The Squad 35,friends,2022-09-18,active,percentage,friends group
GRP_0020,Apartment 97,household,2020-07-26,active,custom,household group
GRP_0021,Group75 Team,office,2016-01-22,ended,custom,office group
GRP_0022,Project Group9 9,project,2022-12-02,ended,equal,project group
GRP_0023,Family Matters 4,family,2020-04-22,ended,percentage,family group
GRP_0024,Sprint 26 Team,project,2020-09-28,ended,equal,project group
GRP_0025,Team 59,office,2016-06-03,ended,equal,office group
GRP_0026,Task Force 77,project,2023-12-07,ended,equal,project group
GRP_0027,Weekend Warriors,friends,2017-10-08,dormant,equal,friends group
GRP_0028,Coffee Fund,office,2021-11-21,ended,equal,office group
GRP_0029,Room 41 Crew,household,2019-07-05,ended,custom,household group
GRP_0030,Office Snacks,office,2022-03-01,ended,equal,office group
GRP_0031,The Group96s,family,2018-12-24,active,custom,family group
GRP_0032,Group12's Crew,friends,2021-07-29,ended,equal,friends group
GRP_0033,Project Group37 37,project,2020-08-28,ended,equal,project group
GRP_0034,Group55 Team,office,2023-02-12,ended,custom,office group
GRP_0035,Home Base 82,family,2024-03-08,active,percentage,family group
GRP_0036,Family Matters 12,family,2025-10-10,active,percentage,family group
GRP_0037,Group88 Household,household,2023-01-15,active,equal,household group
GRP_0038,Office Snacks,office,2021-06-06,ended,equal,office group
GRP_0039,Room 35 Crew,household,2019-11-25,dormant,percentage,household group
GRP_0040,The Group40s,family,2021-10-09,active,percentage,family group
GRP_0041,Home Base 24,family,2016-03-13,ended,percentage,family group
GRP_0042,Group38 Family,family,2016-12-16,ended,custom,family group
GRP_0043,The Squad 88,friends,2020-11-10,active,equal,friends group
GRP_0044,Movie Night Gang,friends,2022-10-17,active,equal,friends group
GRP_0045,Coffee Fund,office,2019-06-04,ended,percentage,office group
GRP_0046,Weekend Warriors,friends,2025-01-19,active,equal,friends group
GRP_0047,The Residents 52,household,2016-12-10,ended,custom,household group
GRP_0048,Weekend Warriors,friends,2020-10-09,active,percentage,friends group
GRP_0049,Room 28 Crew,household,2018-02-07,ended,equal,household group
GRP_0050,The Residents 44,household,2020-01-29,active,equal,household group
GRP_0051,Brunch Bunch,friends,2019-02-28,dormant,equal,friends group
GRP_0052,Hawaii Adventure,travel,2020-08-07,ended,custom,travel group
GRP_0053,Paris Adventure,travel,2024-11-15,ended,equal,travel group
GRP_0054,Group1 Family,family,2020-08-26,active,percentage,family group
GRP_0055,Lunch Crew 95,office,2022-10-03,ended,equal,office group
GRP_0056,Team 87,office,2019-07-24,ended,equal,office group
GRP_0057,Brunch Bunch,friends,2019-08-19,ended,equal,friends group
GRP_0058,Room 74 Crew,household,2016-12-22,active,equal,household group
GRP_0059,NYC Crew 68,travel,2020-11-27,ended,percentage,travel group
GRP_0060,Foodie Friends,friends,2016-08-12,ended,percentage,friends group
GRP_0061,Project Group10 10,project,2022-08-08,ended,equal,project group
GRP_0062,Weekend Warriors,friends,2022-12-11,ended,equal,friends group
GRP_0063,Group91 Team,office,2021-03-01,ended,equal,office group
GRP_0064,Group9 Family,family,2018-03-18,active,custom,family group
GRP_0065,Sprint 10 Team,project,2021-02-05,ended,equal,project group
GRP_0066,Good Times 41,friends,2025-03-20,active,equal,friends group
GRP_0067,The Residents 68,household,2021-12-11,active,equal,household group
GRP_0068,Good Times 71,friends,2017-11-04,ended,percentage,friends group
GRP_0069,Sprint 75 Team,project,2018-05-03,ended,equal,project group
GRP_0070,Apartment 74,household,2020-01-17,ended,custom,household group
GRP_0071,Apartment 86,household,2021-05-25,active,percentage,household group
GRP_0072,The Squad 21,friends,2017-02-12,ended,equal,friends group
GRP_0073,Room 72 Crew,household,2021-09-22,dormant,percentage,household group
GRP_0074,Group74 Family,family,2020-11-16,active,percentage,family group
GRP_0075,Hawaii Crew 31,travel,2022-07-17,dormant,equal,travel group
GRP_0076,Japan Adventure,travel,2025-03-22,ended,equal,travel group
GRP_0077,Group79 Family,family,2019-09-09,active,percentage,family group
GRP_0078,Office Snacks,office,2025-08-13,active,equal,office group
GRP_0079,Family Fund 28,family,2021-12-03,active,equal,family group
GRP_0080,Group67's Crew,friends,2017-06-13,ended,equal,friends group
GRP_0081,Room 24 Crew,household,2016-01-24,ended,equal,household group
GRP_0082,Trip to Hawaii 71,travel,2022-03-30,ended,custom,travel group
GRP_0083,Project Group40 40,project,2020-08-12,ended,equal,project group
GRP_0084,Weekend Warriors,friends,2021-11-27,ended,equal,friends group
GRP_0085,Home Sweet Home 44,household,2018-07-02,ended,equal,household group
GRP_0086,The Squad 66,friends,2022-08-20,ended,equal,friends group
GRP_0087,Vacation Fund 61,travel,2019-01-12,ended,percentage,travel group
GRP_0088,Trip to Thailand 85,travel,2022-09-12,dormant,percentage,travel group
GRP_0089,Home Sweet Home 92,household,2020-03-08,active,percentage,household group
GRP_0090,Trip to Japan 92,travel,2019-08-07,ended,custom,travel group
GRP_0091,The Squad 38,friends,2016-06-26,ended,equal,friends group
GRP_0092,Weekend Warriors,friends,2023-12-19,ended,equal,friends group
GRP_0093,Vacation Fund 70,travel,2017-05-08,ended,equal,travel group
GRP_0094,The Squad 36,friends,2021-01-03,ended,equal,friends group
GRP_0095,Lunch Crew 65,office,2020-10-16,ended,equal,office group
GRP_0096,Trip to Italy 87,travel,2022-05-04,ended,equal,travel group
GRP_0097,Team 71,office,2019-10-10,ended,equal,office group
GRP_0098,Movie Night Gang,friends,2017-10-20,ended,equal,friends group
GRP_0099,Paris Adventure,travel,2017-02-25,dormant,percentage,travel group
GRP_0100,Game Night Regulars,friends,2017-10-21,ended,percentage,friends group
GRP_0101,Japan Adventure,travel,2023-07-10,ended,equal,travel group
GRP_0102,Project Group45 45,project,2017-06-17,ended,equal,project group
GRP_0103,Brunch Bunch,friends,2020-08-01,ended,equal,friends group
GRP_0104,Office Snacks,office,2017-10-09,ended,percentage,office group
GRP_0105,Task Force 91,project,2022-05-17,ended,equal,project group
GRP_0106,Family Fund 95,family,2024-02-23,active,percentage,family group
GRP_0107,Brunch Bunch,friends,2017-03-21,dormant,equal,friends group
GRP_0108,Foodie Friends,friends,2016-10-09,dormant,equal,friends group
GRP_0109,Home Base 76,family,2016-01-02,dormant,equal,family group
GRP_0110,Apartment 20,household,2016-03-03,dormant,equal,household group
GRP_0111,Foodie Friends,friends,2021-01-09,ended,custom,friends group
GRP_0112,Group7 Team,office,2019-08-24,ended,percentage,office group
GRP_0113,Group24's Crew,friends,2020-03-12,ended,equal,friends group
GRP_0114,Floor 93 Gang,office,2023-05-06,ended,equal,office group
GRP_0115,Movie Night Gang,friends,2021-09-11,ended,percentage,friends group
GRP_0116,Movie Night Gang,friends,2023-11-19,active,equal,friends group
GRP_0117,Home Base 78,family,2020-09-24,active,percentage,family group
GRP_0118,Floor 2 Gang,office,2024-04-08,active,equal,office group
GRP_0119,Game Night Regulars,friends,2017-11-04,ended,equal,friends group
GRP_0120,The Residents 24,household,2017-06-28,ended,equal,household group
