budget_id,user_id,category,monthly_budget_npr
BUD_NPU_00001_rent,NPU_00001,rent,417.1
BUD_NPU_00001_groceries,NPU_00001,groceries,28154.36
BUD_NPU_00001_restaurants_cafes,NPU_00001,restaurants_cafes,57560.02
BUD_NPU_00001_transport_public,NPU_00001,transport_public,26068.85
BUD_NPU_00001_transport_ride_hailing,NPU_00001,transport_ride_hailing,14598.56
BUD_NPU_00001_fuel,NPU_00001,fuel,9384.79
BUD_NPU_00001_internet_mobile,NPU_00001,internet_mobile,2502.61
BUD_NPU_00001_utilities,NPU_00001,utilities,2085.51
BUD_NPU_00001_education,NPU_00001,education,1459.86
BUD_NPU_00001_health,NPU_00001,health,3753.91
BUD_NPU_00001_family_support,NPU_00001,family_support,1042.75
BUD_NPU_00001_loan_emi,NPU_00001,loan_emi,625.65
BUD_NPU_00001_festivals_gifts,NPU_00001,festivals_gifts,1459.86
BUD_NPU_00001_clothing,NPU_00001,clothing,5839.42
BUD_NPU_00001_travel,NPU_00001,travel,1094.89
BUD_NPU_00001_subscriptions,NPU_00001,subscriptions,1668.41
BUD_NPU_00001_savings_investment,NPU_00001,savings_investment,834.2
BUD_NPU_00001_entertainment,NPU_00001,entertainment,21793.56
BUD_NPU_00001_miscellaneous,NPU_00001,miscellaneous,10427.54
BUD_NPU_00002_rent,NPU_00002,rent,232.95
BUD_NPU_00002_groceries,NPU_00002,groceries,15724.37
BUD_NPU_00002_restaurants_cafes,NPU_00002,restaurants_cafes,32147.61
BUD_NPU_00002_transport_public,NPU_00002,transport_public,14559.61
BUD_NPU_00002_transport_ride_hailing,NPU_00002,transport_ride_hailing,8153.38
BUD_NPU_00002_fuel,NPU_00002,fuel,5241.46
BUD_NPU_00002_internet_mobile,NPU_00002,internet_mobile,1397.72
BUD_NPU_00002_utilities,NPU_00002,utilities,1164.77
BUD_NPU_00002_education,NPU_00002,education,815.34
BUD_NPU_00002_health,NPU_00002,health,2096.58
BUD_NPU_00002_family_support,NPU_00002,family_support,582.38
BUD_NPU_00002_loan_emi,NPU_00002,loan_emi,349.43
BUD_NPU_00002_festivals_gifts,NPU_00002,festivals_gifts,815.34
BUD_NPU_00002_clothing,NPU_00002,clothing,3261.35
BUD_NPU_00002_travel,NPU_00002,travel,611.5
BUD_NPU_00002_subscriptions,NPU_00002,subscriptions,931.81
BUD_NPU_00002_savings_investment,NPU_00002,savings_investment,465.91
BUD_NPU_00002_entertainment,NPU_00002,entertainment,12171.83
BUD_NPU_00002_miscellaneous,NPU_00002,miscellaneous,5823.84
BUD_NPU_00003_rent,NPU_00003,rent,459.21
BUD_NPU_00003_groceries,NPU_00003,groceries,30996.47
BUD_NPU_00003_restaurants_cafes,NPU_00003,restaurants_cafes,26404.4
BUD_NPU_00003_transport_public,NPU_00003,transport_public,28700.43
BUD_NPU_00003_transport_ride_hailing,NPU_00003,transport_ride_hailing,16072.24
BUD_NPU_00003_fuel,NPU_00003,fuel,10332.16
BUD_NPU_00003_internet_mobile,NPU_00003,internet_mobile,2755.24
BUD_NPU_00003_utilities,NPU_00003,utilities,2296.03
BUD_NPU_00003_education,NPU_00003,education,1607.22
BUD_NPU_00003_health,NPU_00003,health,4132.86
BUD_NPU_00003_family_support,NPU_00003,family_support,1148.02
BUD_NPU_00003_loan_emi,NPU_00003,loan_emi,688.81
BUD_NPU_00003_festivals_gifts,NPU_00003,festivals_gifts,4018.06
BUD_NPU_00003_clothing,NPU_00003,clothing,10929.12
BUD_NPU_00003_travel,NPU_00003,travel,1125.06
BUD_NPU_00003_subscriptions,NPU_00003,subscriptions,1836.83
BUD_NPU_00003_savings_investment,NPU_00003,savings_investment,918.41
BUD_NPU_00003_entertainment,NPU_00003,entertainment,12628.19
BUD_NPU_00003_miscellaneous,NPU_00003,miscellaneous,11480.17
BUD_NPU_00004_rent,NPU_00004,rent,51.36
BUD_NPU_00004_groceries,NPU_00004,groceries,3466.87
BUD_NPU_00004_restaurants_cafes,NPU_00004,restaurants_cafes,3543.91
BUD_NPU_00004_transport_public,NPU_00004,transport_public,6420.12
BUD_NPU_00004_transport_ride_hailing,NPU_00004,transport_ride_hailing,1797.63
BUD_NPU_00004_fuel,NPU_00004,fuel,1155.62
BUD_NPU_00004_internet_mobile,NPU_00004,internet_mobile,400.62
BUD_NPU_00004_utilities,NPU_00004,utilities,256.8
BUD_NPU_00004_education,NPU_00004,education,323.57
BUD_NPU_00004_health,NPU_00004,health,462.25
BUD_NPU_00004_family_support,NPU_00004,family_support,128.4
BUD_NPU_00004_loan_emi,NPU_00004,loan_emi,77.04
BUD_NPU_00004_festivals_gifts,NPU_00004,festivals_gifts,179.76
BUD_NPU_00004_clothing,NPU_00004,clothing,719.05
BUD_NPU_00004_travel,NPU_00004,travel,89.88
BUD_NPU_00004_subscriptions,NPU_00004,subscriptions,205.44
