split_id,expense_id,group_id,user_id,owed_amount_npr,paid_by_user_id,settlement_status
SPL_NPE_00000457_NPU_00215,NPE_00000457,NPG_00001,NPU_00215,523.05,NPU_00083,settled
SPL_NPE_00000457_NPU_00083,NPE_00000457,NPG_00001,NPU_00083,523.05,NPU_00083,paid_by_self
SPL_NPE_00000457_NPU_00034,NPE_00000457,NPG_00001,NPU_00034,523.05,NPU_00083,settled
SPL_NPE_00000457_NPU_00027,NPE_00000457,NPG_00001,NPU_00027,523.05,NPU_00083,settled
SPL_NPE_00000458_NPU_00107,NPE_00000458,NPG_00007,NPU_00107,129.6,NPU_00096,settled
SPL_NPE_00000458_NPU_00017,NPE_00000458,NPG_00007,NPU_00017,129.6,NPU_00096,settled
SPL_NPE_00000458_NPU_00096,NPE_00000458,NPG_00007,NPU_00096,129.6,NPU_00096,paid_by_self
SPL_NPE_00000459_NPU_00297,NPE_00000459,NPG_00016,NPU_00297,216.81,NPU_00102,settled
SPL_NPE_00000459_NPU_00102,NPE_00000459,NPG_00016,NPU_00102,216.81,NPU_00102,paid_by_self
SPL_NPE_00000459_NPU_00280,NPE_00000459,NPG_00016,NPU_00280,216.81,NPU_00102,settled
SPL_NPE_00000459_NPU_00022,NPE_00000459,NPG_00016,NPU_00022,216.81,NPU_00102,settled
SPL_NPE_00000460_NPU_00134,NPE_00000460,NPG_00019,NPU_00134,4918.05,NPU_00288,settled
SPL_NPE_00000460_NPU_00288,NPE_00000460,NPG_00019,NPU_00288,4918.05,NPU_00288,paid_by_self
SPL_NPE_00000460_NPU_00107,NPE_00000460,NPG_00019,NPU_00107,4918.05,NPU_00288,settled
SPL_NPE_00000460_NPU_00283,NPE_00000460,NPG_00019,NPU_00283,4918.05,NPU_00288,settled
SPL_NPE_00000461_NPU_00018,NPE_00000461,NPG_00021,NPU_00018,209.33,NPU_00085,settled
SPL_NPE_00000461_NPU_00204,NPE_00000461,NPG_00021,NPU_00204,209.33,NPU_00085,settled
SPL_NPE_00000461_NPU_00054,NPE_00000461,NPG_00021,NPU_00054,209.33,NPU_00085,settled
SPL_NPE_00000461_NPU_00295,NPE_00000461,NPG_00021,NPU_00295,209.33,NPU_00085,settled
SPL_NPE_00000461_NPU_00085,NPE_00000461,NPG_00021,NPU_00085,209.33,NPU_00085,paid_by_self
SPL_NPE_00000462_NPU_00169,NPE_00000462,NPG_00022,NPU_00169,1947.7,NPU_00169,paid_by_self
SPL_NPE_00000462_NPU_00270,NPE_00000462,NPG_00022,NPU_00270,1947.7,NPU_00169,settled
SPL_NPE_00000462_NPU_00198,NPE_00000462,NPG_00022,NPU_00198,1947.7,NPU_00169,settled
SPL_NPE_00000462_NPU_00211,NPE_00000462,NPG_00022,NPU_00211,1947.7,NPU_00169,settled
SPL_NPE_00000463_NPU_00191,NPE_00000463,NPG_00025,NPU_00191,2401.31,NPU_00180,settled
SPL_NPE_00000463_NPU_00180,NPE_00000463,NPG_00025,NPU_00180,2401.31,NPU_00180,paid_by_self
SPL_NPE_00000463_NPU_00059,NPE_00000463,NPG_00025,NPU_00059,2401.31,NPU_00180,settled
SPL_NPE_00000463_NPU_00270,NPE_00000463,NPG_00025,NPU_00270,2401.31,NPU_00180,settled
SPL_NPE_00000463_NPU_00030,NPE_00000463,NPG_00025,NPU_00030,2401.31,NPU_00180,settled
SPL_NPE_00000464_NPU_00155,NPE_00000464,NPG_00027,NPU_00155,338.89,NPU_00155,paid_by_self
SPL_NPE_00000464_NPU_00143,NPE_00000464,NPG_00027,NPU_00143,338.89,NPU_00155,settled
SPL_NPE_00000464_NPU_00270,NPE_00000464,NPG_00027,NPU_00270,338.89,NPU_00155,settled
SPL_NPE_00000464_NPU_00024,NPE_00000464,NPG_00027,NPU_00024,338.89,NPU_00155,settled
SPL_NPE_00000464_NPU_00120,NPE_00000464,NPG_00027,NPU_00120,338.89,NPU_00155,settled
SPL_NPE_00000464_NPU_00249,NPE_00000464,NPG_00027,NPU_00249,338.89,NPU_00155,settled
SPL_NPE_00000464_NPU_00239,NPE_00000464,NPG_00027,NPU_00239,338.89,NPU_00155,settled
SPL_NPE_00000465_NPU_00134,NPE_00000465,NPG_00037,NPU_00134,7235.47,NPU_00022,settled
SPL_NPE_00000465_NPU_00022,NPE_00000465,NPG_00037,NPU_00022,7235.47,NPU_00022,paid_by_self
SPL_NPE_00000465_NPU_00195,NPE_00000465,NPG_00037,NPU_00195,7235.47,NPU_00022,settled
SPL_NPE_00000466_NPU_00141,NPE_00000466,NPG_00040,NPU_00141,427.83,NPU_00164,settled
SPL_NPE_00000466_NPU_00106,NPE_00000466,NPG_00040,NPU_00106,427.83,NPU_00164,settled
SPL_NPE_00000466_NPU_00164,NPE_00000466,NPG_00040,NPU_00164,427.83,NPU_00164,paid_by_self
SPL_NPE_00000466_NPU_00263,NPE_00000466,NPG_00040,NPU_00263,427.83,NPU_00164,settled
SPL_NPE_00000467_NPU_00096,NPE_00000467,NPG_00051,NPU_00096,402.53,NPU_00090,settled
SPL_NPE_00000467_NPU_00090,NPE_00000467,NPG_00051,NPU_00090,402.53,NPU_00090,paid_by_self
SPL_NPE_00000467_NPU_00115,NPE_00000467,NPG_00051,NPU_00115,402.53,NPU_00090,settled
SPL_NPE_00000467_NPU_00109,NPE_00000467,NPG_00051,NPU_00109,402.53,NPU_00090,settled
SPL_NPE_00000468_NPU_00136,NPE_00000468,NPG_00061,NPU_00136,2590.72,NPU_00268,settled
SPL_NPE_00000468_NPU_00097,NPE_00000468,NPG_00061,NPU_00097,2590.72,NPU_00268,settled
SPL_NPE_00000468_NPU_00268,NPE_00000468,NPG_00061,NPU_00268,2590.72,NPU_00268,paid_by_self
SPL_NPE_00000468_NPU_00295,NPE_00000468,NPG_00061,NPU_00295,2590.72,NPU_00268,settled
SPL_NPE_00000468_NPU_00150,NPE_00000468,NPG_00061,NPU_00150,2590.72,NPU_00268,settled
SPL_NPE_00000468_NPU_00218,NPE_00000468,NPG_00061,NPU_00218,2590.72,NPU_00268,settled
SPL_NPE_00000468_NPU_00220,NPE_00000468,NPG_00061,NPU_00220,2590.72,NPU_00268,settled
