goal_id,user_id,goal_type,target_amount_npr,monthly_target_npr
GOAL_NPU_00001,NPU_00001,emergency_fund,1078908.21,7175.0
GOAL_NPU_00002,NPU_00002,education,394655.13,4705.0
GOAL_NPU_00003,NPU_00003,travel,334669.63,11152.0
GOAL_NPU_00004,NPU_00004,travel,97434.14,740.0
GOAL_NPU_00005,NPU_00005,education,351754.42,1224.0
GOAL_NPU_00006,NPU_00006,debt_reduction,576583.59,22610.0
GOAL_NPU_00007,NPU_00007,education,561541.23,13024.0
GOAL_NPU_00008,NPU_00008,travel,1376794.54,25080.0
GOAL_NPU_00009,NPU_00009,device_purchase,991714.94,11304.0
GOAL_NPU_00010,NPU_00010,emergency_fund,276048.86,2130.0
GOAL_NPU_00011,NPU_00011,travel,1591224.78,21050.0
GOAL_NPU_00012,NPU_00012,debt_reduction,255416.05,6555.0
GOAL_NPU_00013,NPU_00013,device_purchase,101563.54,1220.0
GOAL_NPU_00014,NPU_00014,device_purchase,101981.31,820.0
GOAL_NPU_00015,NPU_00015,emergency_fund,391612.38,4005.0
GOAL_NPU_00016,NPU_00016,education,69656.78,992.0
GOAL_NPU_00017,NPU_00017,device_purchase,300715.03,13118.0
GOAL_NPU_00018,NPU_00018,emergency_fund,164069.68,3600.0
GOAL_NPU_00019,NPU_00019,emergency_fund,1428972.7,38004.0
GOAL_NPU_00020,NPU_00020,debt_reduction,323405.41,7546.0
GOAL_NPU_00021,NPU_00021,emergency_fund,90699.06,6566.0
GOAL_NPU_00022,NPU_00022,education,1493584.78,16896.0
GOAL_NPU_00023,NPU_00023,education,454548.73,14784.0
GOAL_NPU_00024,NPU_00024,travel,324967.67,5560.0
GOAL_NPU_00025,NPU_00025,emergency_fund,148015.97,4120.0
GOAL_NPU_00026,NPU_00026,emergency_fund,863746.96,8792.0
GOAL_NPU_00027,NPU_00027,travel,230998.13,7238.0
GOAL_NPU_00028,NPU_00028,device_purchase,217689.72,918.0
GOAL_NPU_00029,NPU_00029,education,521251.16,22610.0
GOAL_NPU_00030,NPU_00030,emergency_fund,222089.55,6104.0
GOAL_NPU_00031,NPU_00031,device_purchase,514768.92,7930.0
GOAL_NPU_00032,NPU_00032,travel,402057.99,4672.0
GOAL_NPU_00033,NPU_00033,debt_reduction,245419.16,1770.0
GOAL_NPU_00034,NPU_00034,education,467077.08,8730.0
GOAL_NPU_00035,NPU_00035,device_purchase,66249.82,4900.0
GOAL_NPU_00036,NPU_00036,education,55626.17,4956.0
GOAL_NPU_00037,NPU_00037,debt_reduction,196595.31,1416.0
GOAL_NPU_00038,NPU_00038,debt_reduction,918423.38,18108.0
GOAL_NPU_00039,NPU_00039,education,857924.22,15064.0
GOAL_NPU_00040,NPU_00040,education,362445.72,5008.0
GOAL_NPU_00041,NPU_00041,education,124578.26,4088.0
GOAL_NPU_00042,NPU_00042,device_purchase,146309.22,860.0
GOAL_NPU_00043,NPU_00043,travel,50557.55,2680.0
GOAL_NPU_00044,NPU_00044,travel,160461.34,840.0
GOAL_NPU_00045,NPU_00045,travel,101919.11,1212.0
GOAL_NPU_00046,NPU_00046,travel,831665.74,4080.0
GOAL_NPU_00047,NPU_00047,education,242560.23,2495.0
GOAL_NPU_00048,NPU_00048,travel,366501.14,13958.0
GOAL_NPU_00049,NPU_00049,debt_reduction,115088.02,7980.0
GOAL_NPU_00050,NPU_00050,education,236617.94,10080.0
GOAL_NPU_00051,NPU_00051,education,248750.32,1929.0
GOAL_NPU_00052,NPU_00052,emergency_fund,102970.04,6080.0
GOAL_NPU_00053,NPU_00053,debt_reduction,110387.09,880.0
GOAL_NPU_00054,NPU_00054,education,309315.69,4632.0
GOAL_NPU_00055,NPU_00055,debt_reduction,148296.32,4135.0
GOAL_NPU_00056,NPU_00056,education,550798.11,8240.0
GOAL_NPU_00057,NPU_00057,emergency_fund,176518.31,3600.0
GOAL_NPU_00058,NPU_00058,travel,823447.41,38028.0
GOAL_NPU_00059,NPU_00059,device_purchase,288903.01,22610.0
GOAL_NPU_00060,NPU_00060,education,1206421.01,32052.0
GOAL_NPU_00061,NPU_00061,education,554804.51,3084.0
GOAL_NPU_00062,NPU_00062,debt_reduction,254225.13,3152.0
GOAL_NPU_00063,NPU_00063,debt_reduction,396152.93,2720.0
GOAL_NPU_00064,NPU_00064,travel,942163.43,17460.0
GOAL_NPU_00065,NPU_00065,device_purchase,504220.04,11610.0
GOAL_NPU_00066,NPU_00066,emergency_fund,64615.34,1712.0
GOAL_NPU_00067,NPU_00067,travel,739028.03,8550.0
GOAL_NPU_00068,NPU_00068,education,330982.43,6440.0
GOAL_NPU_00069,NPU_00069,travel,1217220.0,15808.0
GOAL_NPU_00070,NPU_00070,travel,305456.83,14536.0
GOAL_NPU_00071,NPU_00071,emergency_fund,94639.49,680.0
GOAL_NPU_00072,NPU_00072,device_purchase,49097.63,320.0
GOAL_NPU_00073,NPU_00073,debt_reduction,383844.49,9336.0
GOAL_NPU_00074,NPU_00074,emergency_fund,340240.89,2085.0
GOAL_NPU_00075,NPU_00075,education,669531.21,28248.0
GOAL_NPU_00076,NPU_00076,device_purchase,728428.35,14294.0
GOAL_NPU_00077,NPU_00077,debt_reduction,165976.76,1200.0
GOAL_NPU_00078,NPU_00078,device_purchase,311849.35,2445.0
GOAL_NPU_00079,NPU_00079,education,646334.03,17904.0
GOAL_NPU_00080,NPU_00080,emergency_fund,496783.37,13416.0
