membership_id,group_id,user_id,joined_date,role
MEM_NPG_00001_NPU_00215,NPG_00001,NPU_00215,2023-01-01,member
MEM_NPG_00001_NPU_00083,NPG_00001,NPU_00083,2023-01-01,member
MEM_NPG_00001_NPU_00034,NPG_00001,NPU_00034,2023-01-01,member
MEM_NPG_00001_NPU_00027,NPG_00001,NPU_00027,2023-01-01,member
MEM_NPG_00002_NPU_00160,NPG_00002,NPU_00160,2023-01-01,member
MEM_NPG_00002_NPU_00067,NPG_00002,NPU_00067,2023-01-01,member
MEM_NPG_00003_NPU_00300,NPG_00003,NPU_00300,2023-01-01,member
MEM_NPG_00003_NPU_00007,NPG_00003,NPU_00007,2023-01-01,member
MEM_NPG_00003_NPU_00101,NPG_00003,NPU_00101,2023-01-01,member
MEM_NPG_00003_NPU_00218,NPG_00003,NPU_00218,2023-01-01,member
MEM_NPG_00003_NPU_00267,NPG_00003,NPU_00267,2023-01-01,member
MEM_NPG_00003_NPU_00283,NPG_00003,NPU_00283,2023-01-01,member
MEM_NPG_00003_NPU_00249,NPG_00003,NPU_00249,2023-01-01,member
MEM_NPG_00003_NPU_00269,NPG_00003,NPU_00269,2023-01-01,member
MEM_NPG_00003_NPU_00276,NPG_00003,NPU_00276,2023-01-01,member
MEM_NPG_00003_NPU_00237,NPG_00003,NPU_00237,2023-01-01,member
MEM_NPG_00004_NPU_00046,NPG_00004,NPU_00046,2023-01-01,member
MEM_NPG_00004_NPU_00138,NPG_00004,NPU_00138,2023-01-01,member
MEM_NPG_00004_NPU_00196,NPG_00004,NPU_00196,2023-01-01,member
MEM_NPG_00004_NPU_00289,NPG_00004,NPU_00289,2023-01-01,member
MEM_NPG_00004_NPU_00014,NPG_00004,NPU_00014,2023-01-01,member
MEM_NPG_00004_NPU_00060,NPG_00004,NPU_00060,2023-01-01,member
MEM_NPG_00004_NPU_00051,NPG_00004,NPU_00051,2023-01-01,member
MEM_NPG_00004_NPU_00011,NPG_00004,NPU_00011,2023-01-01,member
MEM_NPG_00004_NPU_00207,NPG_00004,NPU_00207,2023-01-01,member
MEM_NPG_00005_NPU_00044,NPG_00005,NPU_00044,2023-01-01,member
MEM_NPG_00005_NPU_00254,NPG_00005,NPU_00254,2023-01-01,member
MEM_NPG_00005_NPU_00285,NPG_00005,NPU_00285,2023-01-01,member
MEM_NPG_00005_NPU_00133,NPG_00005,NPU_00133,2023-01-01,member
MEM_NPG_00006_NPU_00159,NPG_00006,NPU_00159,2023-01-01,member
MEM_NPG_00006_NPU_00167,NPG_00006,NPU_00167,2023-01-01,member
MEM_NPG_00006_NPU_00242,NPG_00006,NPU_00242,2023-01-01,member
MEM_NPG_00006_NPU_00219,NPG_00006,NPU_00219,2023-01-01,member
MEM_NPG_00006_NPU_00222,NPG_00006,NPU_00222,2023-01-01,member
MEM_NPG_00006_NPU_00289,NPG_00006,NPU_00289,2023-01-01,member
MEM_NPG_00007_NPU_00107,NPG_00007,NPU_00107,2023-01-01,member
MEM_NPG_00007_NPU_00017,NPG_00007,NPU_00017,2023-01-01,member
MEM_NPG_00007_NPU_00096,NPG_00007,NPU_00096,2023-01-01,member
MEM_NPG_00008_NPU_00181,NPG_00008,NPU_00181,2023-01-01,member
MEM_NPG_00008_NPU_00115,NPG_00008,NPU_00115,2023-01-01,member
MEM_NPG_00008_NPU_00275,NPG_00008,NPU_00275,2023-01-01,member
MEM_NPG_00008_NPU_00244,NPG_00008,NPU_00244,2023-01-01,member
MEM_NPG_00008_NPU_00137,NPG_00008,NPU_00137,2023-01-01,member
MEM_NPG_00008_NPU_00029,NPG_00008,NPU_00029,2023-01-01,member
MEM_NPG_00008_NPU_00025,NPG_00008,NPU_00025,2023-01-01,member
MEM_NPG_00008_NPU_00140,NPG_00008,NPU_00140,2023-01-01,member
MEM_NPG_00008_NPU_00197,NPG_00008,NPU_00197,2023-01-01,member
MEM_NPG_00009_NPU_00155,NPG_00009,NPU_00155,2023-01-01,member
MEM_NPG_00009_NPU_00283,NPG_00009,NPU_00283,2023-01-01,member
MEM_NPG_00009_NPU_00201,NPG_00009,NPU_00201,2023-01-01,member
MEM_NPG_00009_NPU_00168,NPG_00009,NPU_00168,2023-01-01,member
MEM_NPG_00010_NPU_00044,NPG_00010,NPU_00044,2023-01-01,member
MEM_NPG_00010_NPU_00227,NPG_00010,NPU_00227,2023-01-01,member
MEM_NPG_00010_NPU_00144,NPG_00010,NPU_00144,2023-01-01,member
MEM_NPG_00010_NPU_00038,NPG_00010,NPU_00038,2023-01-01,member
MEM_NPG_00010_NPU_00056,NPG_00010,NPU_00056,2023-01-01,member
MEM_NPG_00010_NPU_00213,NPG_00010,NPU_00213,2023-01-01,member
MEM_NPG_00010_NPU_00142,NPG_00010,NPU_00142,2023-01-01,member
MEM_NPG_00010_NPU_00103,NPG_00010,NPU_00103,2023-01-01,member
MEM_NPG_00010_NPU_00247,NPG_00010,NPU_00247,2023-01-01,member
MEM_NPG_00010_NPU_00122,NPG_00010,NPU_00122,2023-01-01,member
MEM_NPG_00011_NPU_00127,NPG_00011,NPU_00127,2023-01-01,member
MEM_NPG_00011_NPU_00050,NPG_00011,NPU_00050,2023-01-01,member
MEM_NPG_00011_NPU_00257,NPG_00011,NPU_00257,2023-01-01,member
MEM_NPG_00011_NPU_00230,NPG_00011,NPU_00230,2023-01-01,member
MEM_NPG_00012_NPU_00076,NPG_00012,NPU_00076,2023-01-01,member
MEM_NPG_00012_NPU_00144,NPG_00012,NPU_00144,2023-01-01,member
MEM_NPG_00012_NPU_00221,NPG_00012,NPU_00221,2023-01-01,member
MEM_NPG_00012_NPU_00172,NPG_00012,NPU_00172,2023-01-01,member
MEM_NPG_00012_NPU_00224,NPG_00012,NPU_00224,2023-01-01,member
MEM_NPG_00012_NPU_00145,NPG_00012,NPU_00145,2023-01-01,member
MEM_NPG_00013_NPU_00268,NPG_00013,NPU_00268,2023-01-01,member
MEM_NPG_00013_NPU_00149,NPG_00013,NPU_00149,2023-01-01,member
MEM_NPG_00013_NPU_00087,NPG_00013,NPU_00087,2023-01-01,member
MEM_NPG_00013_NPU_00280,NPG_00013,NPU_00280,2023-01-01,member
MEM_NPG_00014_NPU_00035,NPG_00014,NPU_00035,2023-01-01,member
MEM_NPG_00014_NPU_00093,NPG_00014,NPU_00093,2023-01-01,member
MEM_NPG_00014_NPU_00221,NPG_00014,NPU_00221,2023-01-01,member
MEM_NPG_00015_NPU_00201,NPG_00015,NPU_00201,2023-01-01,member
MEM_NPG_00015_NPU_00205,NPG_00015,NPU_00205,2023-01-01,member
MEM_NPG_00015_NPU_00049,NPG_00015,NPU_00049,2023-01-01,member
MEM_NPG_00015_NPU_00155,NPG_00015,NPU_00155,2023-01-01,member
MEM_NPG_00015_NPU_00169,NPG_00015,NPU_00169,2023-01-01,member
MEM_NPG_00015_NPU_00138,NPG_00015,NPU_00138,2023-01-01,member
MEM_NPG_00016_NPU_00297,NPG_00016,NPU_00297,2023-01-01,member
MEM_NPG_00016_NPU_00102,NPG_00016,NPU_00102,2023-01-01,member
MEM_NPG_00016_NPU_00280,NPG_00016,NPU_00280,2023-01-01,member
MEM_NPG_00016_NPU_00022,NPG_00016,NPU_00022,2023-01-01,member
MEM_NPG_00017_NPU_00031,NPG_00017,NPU_00031,2023-01-01,member
MEM_NPG_00017_NPU_00293,NPG_00017,NPU_00293,2023-01-01,member
MEM_NPG_00017_NPU_00274,NPG_00017,NPU_00274,2023-01-01,member
MEM_NPG_00017_NPU_00075,NPG_00017,NPU_00075,2023-01-01,member
MEM_NPG_00018_NPU_00179,NPG_00018,NPU_00179,2023-01-01,member
MEM_NPG_00018_NPU_00195,NPG_00018,NPU_00195,2023-01-01,member
MEM_NPG_00018_NPU_00014,NPG_00018,NPU_00014,2023-01-01,member
MEM_NPG_00018_NPU_00247,NPG_00018,NPU_00247,2023-01-01,member
MEM_NPG_00018_NPU_00007,NPG_00018,NPU_00007,2023-01-01,member
