group_id,group_type,created_date,default_split_method,activity_rate
NPG_00001,friends,2023-01-01,equal,0.22
NPG_00002,flatmates,2023-01-01,equal,0.28
NPG_00003,office,2023-01-01,equal,0.12
NPG_00004,office,2023-01-01,equal,0.12
NPG_00005,family,2023-01-01,equal,0.16
NPG_00006,family,2023-01-01,equal,0.16
NPG_00007,friends,2023-01-01,equal,0.22
NPG_00008,event,2023-01-01,equal,0.04
NPG_00009,friends,2023-01-01,equal,0.22
NPG_00010,office,2023-01-01,percentage,0.12
NPG_00011,family,2023-01-01,custom,0.16
NPG_00012,office,2023-01-01,equal,0.12
NPG_00013,friends,2023-01-01,equal,0.22
NPG_00014,friends,2023-01-01,equal,0.22
NPG_00015,friends,2023-01-01,percentage,0.22
NPG_00016,flatmates,2023-01-01,custom,0.28
NPG_00017,flatmates,2023-01-01,equal,0.28
NPG_00018,family,2023-01-01,equal,0.16
NPG_00019,flatmates,2023-01-01,equal,0.28
NPG_00020,friends,2023-01-01,custom,0.22
NPG_00021,friends,2023-01-01,equal,0.22
NPG_00022,flatmates,2023-01-01,equal,0.28
NPG_00023,travel,2023-01-01,equal,0.06
NPG_00024,travel,2023-01-01,percentage,0.06
NPG_00025,friends,2023-01-01,equal,0.22
NPG_00026,friends,2023-01-01,equal,0.22
NPG_00027,office,2023-01-01,equal,0.12
NPG_00028,friends,2023-01-01,equal,0.22
NPG_00029,travel,2023-01-01,percentage,0.06
NPG_00030,travel,2023-01-01,custom,0.06
NPG_00031,travel,2023-01-01,equal,0.06
NPG_00032,friends,2023-01-01,equal,0.22
NPG_00033,travel,2023-01-01,equal,0.06
NPG_00034,flatmates,2023-01-01,percentage,0.28
NPG_00035,family,2023-01-01,equal,0.16
NPG_00036,travel,2023-01-01,equal,0.06
NPG_00037,flatmates,2023-01-01,percentage,0.28
NPG_00038,event,2023-01-01,custom,0.04
NPG_00039,office,2023-01-01,equal,0.12
NPG_00040,travel,2023-01-01,equal,0.06
NPG_00041,friends,2023-01-01,equal,0.22
NPG_00042,office,2023-01-01,equal,0.12
NPG_00043,friends,2023-01-01,equal,0.22
NPG_00044,family,2023-01-01,equal,0.16
NPG_00045,office,2023-01-01,percentage,0.12
NPG_00046,flatmates,2023-01-01,percentage,0.28
NPG_00047,family,2023-01-01,equal,0.16
NPG_00048,flatmates,2023-01-01,equal,0.28
NPG_00049,family,2023-01-01,custom,0.16
NPG_00050,travel,2023-01-01,equal,0.06
NPG_00051,flatmates,2023-01-01,equal,0.28
NPG_00052,office,2023-01-01,equal,0.12
NPG_00053,office,2023-01-01,equal,0.12
NPG_00054,travel,2023-01-01,equal,0.06
NPG_00055,flatmates,2023-01-01,equal,0.28
NPG_00056,travel,2023-01-01,equal,0.06
NPG_00057,office,2023-01-01,equal,0.12
NPG_00058,office,2023-01-01,custom,0.12
NPG_00059,travel,2023-01-01,equal,0.06
NPG_00060,office,2023-01-01,equal,0.12
NPG_00061,family,2023-01-01,equal,0.16
NPG_00062,friends,2023-01-01,custom,0.22
NPG_00063,flatmates,2023-01-01,equal,0.28
NPG_00064,flatmates,2023-01-01,custom,0.28
NPG_00065,friends,2023-01-01,equal,0.22
NPG_00066,flatmates,2023-01-01,equal,0.28
NPG_00067,friends,2023-01-01,equal,0.22
NPG_00068,family,2023-01-01,custom,0.16
NPG_00069,travel,2023-01-01,equal,0.06
NPG_00070,event,2023-01-01,equal,0.04
NPG_00071,travel,2023-01-01,equal,0.06
NPG_00072,friends,2023-01-01,custom,0.22
NPG_00073,family,2023-01-01,equal,0.16
NPG_00074,friends,2023-01-01,equal,0.22
NPG_00075,office,2023-01-01,equal,0.12
NPG_00076,event,2023-01-01,equal,0.04
NPG_00077,event,2023-01-01,equal,0.04
NPG_00078,family,2023-01-01,equal,0.16
NPG_00079,family,2023-01-01,equal,0.16
NPG_00080,friends,2023-01-01,equal,0.22
NPG_00081,travel,2023-01-01,custom,0.06
NPG_00082,office,2023-01-01,equal,0.12
NPG_00083,flatmates,2023-01-01,equal,0.28
NPG_00084,family,2023-01-01,equal,0.16
NPG_00085,event,2023-01-01,equal,0.04
NPG_00086,travel,2023-01-01,equal,0.06
NPG_00087,flatmates,2023-01-01,equal,0.28
NPG_00088,friends,2023-01-01,equal,0.22
NPG_00089,office,2023-01-01,custom,0.12
NPG_00090,flatmates,2023-01-01,equal,0.28
NPG_00091,friends,2023-01-01,equal,0.22
NPG_00092,friends,2023-01-01,equal,0.22
NPG_00093,office,2023-01-01,equal,0.12
NPG_00094,friends,2023-01-01,percentage,0.22
NPG_00095,office,2023-01-01,equal,0.12
NPG_00096,office,2023-01-01,custom,0.12
NPG_00097,travel,2023-01-01,equal,0.06
NPG_00098,flatmates,2023-01-01,equal,0.28
NPG_00099,flatmates,2023-01-01,equal,0.28
NPG_00100,flatmates,2023-01-01,percentage,0.28
NPG_00101,travel,2023-01-01,equal,0.06
NPG_00102,travel,2023-01-01,equal,0.06
NPG_00103,flatmates,2023-01-01,equal,0.28
NPG_00104,family,2023-01-01,equal,0.16
NPG_00105,office,2023-01-01,equal,0.12
NPG_00106,flatmates,2023-01-01,equal,0.28
NPG_00107,travel,2023-01-01,equal,0.06
NPG_00108,friends,2023-01-01,equal,0.22
NPG_00109,flatmates,2023-01-01,equal,0.28
NPG_00110,friends,2023-01-01,equal,0.22
NPG_00111,flatmates,2023-01-01,equal,0.28
NPG_00112,office,2023-01-01,equal,0.12
NPG_00113,family,2023-01-01,custom,0.16
NPG_00114,office,2023-01-01,equal,0.12
NPG_00115,office,2023-01-01,equal,0.12
NPG_00116,family,2023-01-01,percentage,0.16
NPG_00117,travel,2023-01-01,custom,0.06
NPG_00118,office,2023-01-01,equal,0.12
NPG_00119,travel,2023-01-01,equal,0.06
NPG_00120,event,2023-01-01,equal,0.04
