income_id,user_id,income_date,income_amount_npr,income_source,is_expected
INC_NPU_00001_202301,NPU_00001,2023-01-02,145157.15,salary,True
INC_NPU_00001_202302,NPU_00001,2023-02-01,145686.52,salary,True
INC_NPU_00001_202303,NPU_00001,2023-03-04,144052.25,salary,True
INC_NPU_00001_202304,NPU_00001,2023-04-01,136771.87,salary,True
INC_NPU_00001_202305,NPU_00001,2023-05-04,144576.43,salary,True
INC_NPU_00001_202306,NPU_00001,2023-06-02,139998.96,salary,True
INC_NPU_00001_202307,NPU_00001,2023-07-01,143918.84,salary,True
INC_NPU_00001_202308,NPU_00001,2023-08-05,144312.41,salary,True
INC_NPU_00001_202309,NPU_00001,2023-09-02,138433.82,salary,True
INC_NPU_00001_202310,NPU_00001,2023-10-02,143523.77,salary,True
INC_NPU_00001_202311,NPU_00001,2023-11-04,139277.9,salary,True
INC_NPU_00001_202312,NPU_00001,2023-12-01,136571.51,salary,True
INC_NPU_00001_202401,NPU_00001,2024-01-02,139217.66,salary,True
INC_NPU_00001_202402,NPU_00001,2024-02-02,143157.99,salary,True
INC_NPU_00001_202403,NPU_00001,2024-03-03,142987.26,salary,True
INC_NPU_00001_202404,NPU_00001,2024-04-01,142046.05,salary,True
INC_NPU_00001_202405,NPU_00001,2024-05-03,145039.17,salary,True
INC_NPU_00001_202406,NPU_00001,2024-06-01,142821.4,salary,True
INC_NPU_00001_202407,NPU_00001,2024-07-05,144614.92,salary,True
INC_NPU_00001_202408,NPU_00001,2024-08-04,145657.66,salary,True
INC_NPU_00001_202409,NPU_00001,2024-09-01,150350.55,salary,True
INC_NPU_00001_202410,NPU_00001,2024-10-02,143205.36,salary,True
INC_NPU_00001_202411,NPU_00001,2024-11-01,146919.29,salary,True
INC_NPU_00001_202412,NPU_00001,2024-12-04,144142.79,salary,True
INC_NPU_00001_202501,NPU_00001,2025-01-03,144309.21,salary,True
INC_NPU_00001_202502,NPU_00001,2025-02-05,143243.65,salary,True
INC_NPU_00001_202503,NPU_00001,2025-03-01,143887.8,salary,True
INC_NPU_00001_202504,NPU_00001,2025-04-01,142847.31,salary,True
INC_NPU_00001_202505,NPU_00001,2025-05-03,146337.09,salary,True
INC_NPU_00001_202506,NPU_00001,2025-06-01,141416.34,salary,True
INC_NPU_00001_202507,NPU_00001,2025-07-03,139193.08,salary,True
INC_NPU_00001_202508,NPU_00001,2025-08-02,141956.48,salary,True
INC_NPU_00001_202509,NPU_00001,2025-09-01,141664.63,salary,True
INC_NPU_00001_202510,NPU_00001,2025-10-01,141955.03,salary,True
INC_NPU_00001_202511,NPU_00001,2025-11-05,143094.19,salary,True
INC_NPU_00001_202512,NPU_00001,2025-12-03,141965.09,salary,True
INC_NPU_00002_202301,NPU_00002,2023-01-04,93807.82,salary,True
INC_NPU_00002_202302,NPU_00002,2023-02-01,93099.01,salary,True
INC_NPU_00002_202303,NPU_00002,2023-03-03,94872.02,salary,True
INC_NPU_00002_202304,NPU_00002,2023-04-01,98569.01,salary,True
INC_NPU_00002_202305,NPU_00002,2023-05-05,94483.24,salary,True
INC_NPU_00002_202306,NPU_00002,2023-06-02,93171.42,salary,True
INC_NPU_00002_202307,NPU_00002,2023-07-02,89723.65,salary,True
INC_NPU_00002_202308,NPU_00002,2023-08-02,97681.27,salary,True
INC_NPU_00002_202309,NPU_00002,2023-09-01,94588.96,salary,True
INC_NPU_00002_202310,NPU_00002,2023-10-04,93791.44,salary,True
INC_NPU_00002_202311,NPU_00002,2023-11-02,89817.06,salary,True
INC_NPU_00002_202312,NPU_00002,2023-12-05,93887.02,salary,True
INC_NPU_00002_202401,NPU_00002,2024-01-05,94338.26,salary,True
INC_NPU_00002_202402,NPU_00002,2024-02-01,93105.5,salary,True
INC_NPU_00002_202403,NPU_00002,2024-03-01,91581.16,salary,True
INC_NPU_00002_202404,NPU_00002,2024-04-01,91469.55,salary,True
INC_NPU_00002_202405,NPU_00002,2024-05-01,97718.98,salary,True
INC_NPU_00002_202406,NPU_00002,2024-06-04,94283.69,salary,True
INC_NPU_00002_202407,NPU_00002,2024-07-03,93103.91,salary,True
INC_NPU_00002_202408,NPU_00002,2024-08-04,94170.62,salary,True
INC_NPU_00002_202409,NPU_00002,2024-09-02,94041.97,salary,True
INC_NPU_00002_202410,NPU_00002,2024-10-02,91386.2,salary,True
INC_NPU_00002_202411,NPU_00002,2024-11-02,95821.32,salary,True
INC_NPU_00002_202412,NPU_00002,2024-12-03,93743.26,salary,True
INC_NPU_00002_202501,NPU_00002,2025-01-01,94309.56,salary,True
INC_NPU_00002_202502,NPU_00002,2025-02-04,96880.45,salary,True
INC_NPU_00002_202503,NPU_00002,2025-03-03,91631.19,salary,True
INC_NPU_00002_202504,NPU_00002,2025-04-01,92642.11,salary,True
