recurring_id,user_id,category,expected_amount_npr,frequency,payment_method
REC_NPE_00000001,NPU_00001,rent,49214.7,monthly,esewa
REC_NPE_00000004,NPU_00002,rent,22994.19,monthly,khalti
REC_NPE_00000008,NPU_00004,rent,52360.0,monthly,cash
REC_NPE_00000009,NPU_00005,rent,23914.44,monthly,esewa
REC_NPE_00000011,NPU_00006,rent,13286.41,monthly,esewa
REC_NPE_00000012,NPU_00007,rent,44486.94,monthly,fonepay_qr
REC_NPE_00000015,NPU_00009,rent,10000.0,monthly,cash
REC_NPE_00000016,NPU_00010,rent,9668.15,monthly,esewa
REC_NPE_00000020,NPU_00011,rent,42256.7,monthly,esewa
REC_NPE_00000025,NPU_00015,rent,12558.0,monthly,esewa
REC_NPE_00000032,NPU_00019,rent,14532.0,monthly,cash
REC_NPE_00000035,NPU_00020,rent,26980.53,monthly,khalti
REC_NPE_00000037,NPU_00022,rent,12168.88,monthly,esewa
REC_NPE_00000041,NPU_00023,rent,32697.76,monthly,cash
REC_NPE_00000044,NPU_00024,rent,27522.07,monthly,cash
REC_NPE_00000045,NPU_00025,rent,26204.96,monthly,khalti
REC_NPE_00000047,NPU_00026,rent,15805.53,monthly,debit_card
REC_NPE_00000051,NPU_00028,rent,27296.8,monthly,cash
REC_NPE_00000052,NPU_00029,rent,16776.52,monthly,cash
REC_NPE_00000055,NPU_00031,rent,74375.0,monthly,cash
REC_NPE_00000057,NPU_00033,rent,18427.17,monthly,cash
REC_NPE_00000065,NPU_00037,rent,11788.73,monthly,bank_transfer
REC_NPE_00000067,NPU_00039,rent,27917.1,monthly,cash
REC_NPE_00000069,NPU_00040,rent,22900.58,monthly,cash
REC_NPE_00000073,NPU_00043,rent,11130.57,monthly,bank_transfer
REC_NPE_00000077,NPU_00048,rent,16797.41,monthly,esewa
REC_NPE_00000079,NPU_00049,rent,42713.59,monthly,esewa
REC_NPE_00000084,NPU_00051,rent,46975.41,monthly,bank_transfer
REC_NPE_00000090,NPU_00055,rent,19017.82,monthly,cash
REC_NPE_00000097,NPU_00063,rent,20575.05,monthly,cash
REC_NPE_00000100,NPU_00064,rent,49412.77,monthly,cash
REC_NPE_00000103,NPU_00067,rent,24747.28,monthly,fonepay_qr
REC_NPE_00000114,NPU_00075,rent,11667.29,monthly,bank_transfer
REC_NPE_00000116,NPU_00077,rent,74375.0,monthly,cash
REC_NPE_00000118,NPU_00078,rent,15169.45,monthly,cash
REC_NPE_00000120,NPU_00080,rent,10753.68,monthly,esewa
REC_NPE_00000124,NPU_00082,rent,9750.05,monthly,esewa
REC_NPE_00000128,NPU_00085,rent,15761.56,monthly,esewa
REC_NPE_00000131,NPU_00086,rent,10000.0,monthly,esewa
REC_NPE_00000134,NPU_00087,rent,8400.0,monthly,cash
REC_NPE_00000136,NPU_00088,rent,39152.35,monthly,bank_transfer
REC_NPE_00000140,NPU_00092,rent,63628.15,monthly,fonepay_qr
REC_NPE_00000151,NPU_00100,rent,19732.21,monthly,cash
REC_NPE_00000156,NPU_00106,rent,23225.28,monthly,fonepay_qr
REC_NPE_00000157,NPU_00107,rent,24154.75,monthly,cash
REC_NPE_00000160,NPU_00111,rent,23039.48,monthly,khalti
REC_NPE_00000163,NPU_00112,rent,11839.18,monthly,cash
REC_NPE_00000168,NPU_00113,rent,31908.02,monthly,cash
REC_NPE_00000178,NPU_00121,rent,10678.71,monthly,cash
REC_NPE_00000181,NPU_00125,rent,22515.19,monthly,bank_transfer
REC_NPE_00000184,NPU_00127,rent,15209.24,monthly,debit_card
REC_NPE_00000185,NPU_00128,rent,14781.96,monthly,cash
REC_NPE_00000186,NPU_00129,rent,32648.45,monthly,cash
REC_NPE_00000189,NPU_00130,rent,14933.65,monthly,debit_card
REC_NPE_00000191,NPU_00131,rent,10583.58,monthly,bank_transfer
REC_NPE_00000193,NPU_00132,rent,11905.76,monthly,khalti
REC_NPE_00000196,NPU_00133,rent,24069.88,monthly,khalti
REC_NPE_00000199,NPU_00135,rent,34718.83,monthly,credit_card
REC_NPE_00000200,NPU_00137,rent,28928.64,monthly,esewa
REC_NPE_00000207,NPU_00145,rent,19263.65,monthly,cash
REC_NPE_00000209,NPU_00146,rent,48552.38,monthly,cash
REC_NPE_00000212,NPU_00147,rent,12788.4,monthly,cash
REC_NPE_00000213,NPU_00148,rent,17327.59,monthly,esewa
REC_NPE_00000216,NPU_00149,rent,35053.26,monthly,cash
REC_NPE_00000218,NPU_00150,rent,30164.51,monthly,cash
REC_NPE_00000222,NPU_00152,rent,49956.78,monthly,debit_card
