shared_expense_id,expense_id,group_id,paid_by_user_id,split_type,participant_count,settlement_status,days_to_settle
SHR_00000457,NPE_00000457,NPG_00001,NPU_00083,equal,4,settled,8
SHR_00000458,NPE_00000458,NPG_00007,NPU_00096,equal,3,settled,14
SHR_00000459,NPE_00000459,NPG_00016,NPU_00102,custom,4,settled,9
SHR_00000460,NPE_00000460,NPG_00019,NPU_00288,equal,4,settled,5
SHR_00000461,NPE_00000461,NPG_00021,NPU_00085,equal,5,settled,13
SHR_00000462,NPE_00000462,NPG_00022,NPU_00169,equal,4,settled,0
SHR_00000463,NPE_00000463,NPG_00025,NPU_00180,equal,5,settled,2
SHR_00000464,NPE_00000464,NPG_00027,NPU_00155,equal,7,settled,8
SHR_00000465,NPE_00000465,NPG_00037,NPU_00022,percentage,3,settled,7
SHR_00000466,NPE_00000466,NPG_00040,NPU_00164,equal,4,settled,11
SHR_00000467,NPE_00000467,NPG_00051,NPU_00090,equal,4,settled,5
SHR_00000468,NPE_00000468,NPG_00061,NPU_00268,equal,7,settled,3
SHR_00000469,NPE_00000469,NPG_00064,NPU_00046,custom,2,settled,9
SHR_00000470,NPE_00000470,NPG_00066,NPU_00168,equal,5,settled,6
SHR_00000471,NPE_00000471,NPG_00083,NPU_00010,equal,4,settled,7
SHR_00000472,NPE_00000472,NPG_00085,NPU_00259,equal,10,settled,13
SHR_00000473,NPE_00000473,NPG_00088,NPU_00166,equal,6,settled,9
SHR_00000474,NPE_00000474,NPG_00090,NPU_00234,equal,4,settled,10
SHR_00000475,NPE_00000475,NPG_00091,NPU_00218,equal,3,settled,10
SHR_00000476,NPE_00000476,NPG_00093,NPU_00229,equal,6,settled,0
SHR_00000477,NPE_00000477,NPG_00095,NPU_00149,equal,8,settled,12
SHR_00000478,NPE_00000478,NPG_00100,NPU_00195,percentage,2,settled,7
SHR_00000479,NPE_00000479,NPG_00106,NPU_00245,equal,3,settled,10
SHR_00000480,NPE_00000480,NPG_00109,NPU_00038,equal,2,settled,2
SHR_00000481,NPE_00000481,NPG_00110,NPU_00049,equal,3,settled,0
SHR_00000482,NPE_00000482,NPG_00113,NPU_00109,custom,7,settled,21
SHR_00000744,NPE_00000744,NPG_00001,NPU_00215,equal,4,settled,8
SHR_00000745,NPE_00000745,NPG_00002,NPU_00067,equal,2,settled,15
SHR_00000746,NPE_00000746,NPG_00013,NPU_00268,equal,4,settled,12
SHR_00000747,NPE_00000747,NPG_00026,NPU_00169,equal,7,settled,8
SHR_00000748,NPE_00000748,NPG_00028,NPU_00250,equal,5,settled,4
SHR_00000749,NPE_00000749,NPG_00034,NPU_00216,percentage,2,settled,10
SHR_00000750,NPE_00000750,NPG_00037,NPU_00134,percentage,3,settled,6
SHR_00000751,NPE_00000751,NPG_00039,NPU_00183,equal,3,settled,10
SHR_00000752,NPE_00000752,NPG_00045,NPU_00091,percentage,4,settled,2
SHR_00000753,NPE_00000753,NPG_00055,NPU_00264,equal,2,settled,0
SHR_00000754,NPE_00000754,NPG_00059,NPU_00177,equal,4,settled,16
SHR_00000755,NPE_00000755,NPG_00060,NPU_00249,equal,7,settled,9
SHR_00000756,NPE_00000756,NPG_00061,NPU_00136,equal,7,settled,10
SHR_00000757,NPE_00000757,NPG_00068,NPU_00003,custom,7,settled,8
SHR_00000758,NPE_00000758,NPG_00075,NPU_00270,equal,10,settled,10
SHR_00000759,NPE_00000759,NPG_00081,NPU_00215,custom,2,settled,4
SHR_00000760,NPE_00000760,NPG_00088,NPU_00096,equal,6,settled,9
SHR_00000761,NPE_00000761,NPG_00089,NPU_00142,custom,6,settled,8
SHR_00000762,NPE_00000762,NPG_00103,NPU_00148,equal,4,settled,3
SHR_00000763,NPE_00000763,NPG_00105,NPU_00207,equal,6,settled,3
SHR_00000764,NPE_00000764,NPG_00108,NPU_00154,equal,6,settled,9
SHR_00000765,NPE_00000765,NPG_00110,NPU_00049,equal,3,settled,15
SHR_00001167,NPE_00001167,NPG_00007,NPU_00017,equal,3,settled,7
SHR_00001168,NPE_00001168,NPG_00009,NPU_00155,equal,4,settled,3
SHR_00001169,NPE_00001169,NPG_00014,NPU_00035,equal,3,settled,7
SHR_00001170,NPE_00001170,NPG_00015,NPU_00169,percentage,6,settled,19
SHR_00001171,NPE_00001171,NPG_00016,NPU_00297,custom,4,settled,20
SHR_00001172,NPE_00001172,NPG_00017,NPU_00293,equal,4,settled,10
SHR_00001173,NPE_00001173,NPG_00019,NPU_00134,equal,4,settled,1
SHR_00001174,NPE_00001174,NPG_00020,NPU_00042,custom,5,settled,4
SHR_00001175,NPE_00001175,NPG_00027,NPU_00155,equal,7,settled,6
SHR_00001176,NPE_00001176,NPG_00034,NPU_00216,percentage,2,settled,8
SHR_00001177,NPE_00001177,NPG_00035,NPU_00239,equal,4,settled,10
SHR_00001178,NPE_00001178,NPG_00037,NPU_00134,percentage,3,settled,12
SHR_00001179,NPE_00001179,NPG_00040,NPU_00106,equal,4,settled,15
SHR_00001180,NPE_00001180,NPG_00041,NPU_00144,equal,3,settled,0
SHR_00001181,NPE_00001181,NPG_00060,NPU_00249,equal,7,settled,6
SHR_00001182,NPE_00001182,NPG_00061,NPU_00136,equal,7,settled,10
SHR_00001183,NPE_00001183,NPG_00062,NPU_00283,custom,3,settled,8
SHR_00001184,NPE_00001184,NPG_00063,NPU_00241,equal,3,settled,5
SHR_00001185,NPE_00001185,NPG_00064,NPU_00222,custom,2,settled,7
SHR_00001186,NPE_00001186,NPG_00066,NPU_00046,equal,5,settled,8
SHR_00001187,NPE_00001187,NPG_00072,NPU_00025,custom,8,settled,9
SHR_00001188,NPE_00001188,NPG_00088,NPU_00166,equal,6,settled,6
SHR_00001189,NPE_00001189,NPG_00091,NPU_00218,equal,3,settled,5
SHR_00001190,NPE_00001190,NPG_00093,NPU_00136,equal,6,settled,8
SHR_00001191,NPE_00001191,NPG_00100,NPU_00195,percentage,2,settled,8
SHR_00001192,NPE_00001192,NPG_00104,NPU_00007,equal,6,settled,6
SHR_00001193,NPE_00001193,NPG_00113,NPU_00258,custom,7,settled,6
SHR_00001194,NPE_00001194,NPG_00116,NPU_00280,percentage,3,settled,13
SHR_00001469,NPE_00001469,NPG_00009,NPU_00155,equal,4,settled,9
SHR_00001470,NPE_00001470,NPG_00014,NPU_00035,equal,3,settled,11
SHR_00001471,NPE_00001471,NPG_00015,NPU_00201,percentage,6,settled,10
SHR_00001472,NPE_00001472,NPG_00017,NPU_00274,equal,4,settled,13
SHR_00001473,NPE_00001473,NPG_00021,NPU_00085,equal,5,settled,2
SHR_00001474,NPE_00001474,NPG_00022,NPU_00211,equal,4,settled,5
SHR_00001475,NPE_00001475,NPG_00028,NPU_00263,equal,5,settled,1
SHR_00001476,NPE_00001476,NPG_00034,NPU_00216,percentage,2,settled,5
SHR_00001477,NPE_00001477,NPG_00037,NPU_00195,percentage,3,settled,11
SHR_00001478,NPE_00001478,NPG_00044,NPU_00045,equal,7,settled,5
SHR_00001479,NPE_00001479,NPG_00046,NPU_00148,percentage,4,settled,4
SHR_00001480,NPE_00001480,NPG_00058,NPU_00249,custom,6,settled,13
SHR_00001481,NPE_00001481,NPG_00062,NPU_00283,custom,3,settled,12
SHR_00001482,NPE_00001482,NPG_00082,NPU_00235,equal,7,settled,16
SHR_00001483,NPE_00001483,NPG_00083,NPU_00240,equal,4,settled,4
SHR_00001484,NPE_00001484,NPG_00087,NPU_00214,equal,5,settled,3
SHR_00001485,NPE_00001485,NPG_00104,NPU_00127,equal,6,settled,15
SHR_00001486,NPE_00001486,NPG_00106,NPU_00083,equal,3,settled,5
SHR_00001487,NPE_00001487,NPG_00108,NPU_00273,equal,6,settled,3
SHR_00001488,NPE_00001488,NPG_00109,NPU_00004,equal,2,settled,10
SHR_00001489,NPE_00001489,NPG_00111,NPU_00257,equal,3,settled,9
SHR_00001490,NPE_00001490,NPG_00112,NPU_00111,equal,8,settled,0
SHR_00001938,NPE_00001938,NPG_00015,NPU_00138,percentage,6,settled,12
SHR_00001939,NPE_00001939,NPG_00019,NPU_00288,equal,4,settled,7
SHR_00001940,NPE_00001940,NPG_00020,NPU_00194,custom,5,settled,12
SHR_00001941,NPE_00001941,NPG_00026,NPU_00239,equal,7,settled,3
SHR_00001942,NPE_00001942,NPG_00034,NPU_00112,percentage,2,settled,2
SHR_00001943,NPE_00001943,NPG_00041,NPU_00144,equal,3,settled,4
SHR_00001944,NPE_00001944,NPG_00052,NPU_00176,equal,3,settled,0
SHR_00001945,NPE_00001945,NPG_00061,NPU_00295,equal,7,settled,8
SHR_00001946,NPE_00001946,NPG_00062,NPU_00283,custom,3,settled,9
SHR_00001947,NPE_00001947,NPG_00064,NPU_00046,custom,2,settled,8
SHR_00001948,NPE_00001948,NPG_00073,NPU_00105,equal,7,settled,2
SHR_00001949,NPE_00001949,NPG_00075,NPU_00117,equal,10,settled,12
SHR_00001950,NPE_00001950,NPG_00083,NPU_00001,equal,4,settled,2
SHR_00001951,NPE_00001951,NPG_00090,NPU_00234,equal,4,settled,2
SHR_00001952,NPE_00001952,NPG_00091,NPU_00218,equal,3,settled,9
SHR_00001953,NPE_00001953,NPG_00094,NPU_00030,percentage,8,settled,17
SHR_00001954,NPE_00001954,NPG_00106,NPU_00243,equal,3,settled,8
SHR_00001955,NPE_00001955,NPG_00108,NPU_00009,equal,6,settled,11
SHR_00001956,NPE_00001956,NPG_00109,NPU_00038,equal,2,settled,14
SHR_00001957,NPE_00001957,NPG_00111,NPU_00075,equal,3,settled,9
SHR_00002256,NPE_00002256,NPG_00006,NPU_00289,equal,6,settled,3
SHR_00002257,NPE_00002257,NPG_00007,NPU_00096,equal,3,settled,8
SHR_00002258,NPE_00002258,NPG_00014,NPU_00221,equal,3,settled,5
SHR_00002259,NPE_00002259,NPG_00016,NPU_00280,custom,4,settled,7
SHR_00002260,NPE_00002260,NPG_00017,NPU_00075,equal,4,settled,2
SHR_00002261,NPE_00002261,NPG_00018,NPU_00007,equal,7,settled,6
SHR_00002262,NPE_00002262,NPG_00019,NPU_00288,equal,4,settled,9
SHR_00002263,NPE_00002263,NPG_00021,NPU_00204,equal,5,settled,3
SHR_00002264,NPE_00002264,NPG_00029,NPU_00165,percentage,2,settled,3
SHR_00002265,NPE_00002265,NPG_00037,NPU_00134,percentage,3,settled,8
SHR_00002266,NPE_00002266,NPG_00045,NPU_00091,percentage,4,settled,2
SHR_00002267,NPE_00002267,NPG_00048,NPU_00283,equal,2,settled,7
SHR_00002268,NPE_00002268,NPG_00064,NPU_00222,custom,2,settled,9
SHR_00002269,NPE_00002269,NPG_00073,NPU_00105,equal,7,settled,9
SHR_00002270,NPE_00002270,NPG_00080,NPU_00262,equal,4,settled,5
SHR_00002271,NPE_00002271,NPG_00083,NPU_00291,equal,4,settled,6
SHR_00002272,NPE_00002272,NPG_00084,NPU_00001,equal,8,settled,10
SHR_00002273,NPE_00002273,NPG_00086,NPU_00013,equal,4,settled,10
SHR_00002274,NPE_00002274,NPG_00087,NPU_00214,equal,5,settled,7
SHR_00002275,NPE_00002275,NPG_00089,NPU_00247,custom,6,settled,12
SHR_00002276,NPE_00002276,NPG_00105,NPU_00194,equal,6,settled,10
SHR_00002277,NPE_00002277,NPG_00106,NPU_00243,equal,3,settled,9
SHR_00002654,NPE_00002654,NPG_00001,NPU_00083,equal,4,settled,5
SHR_00002655,NPE_00002655,NPG_00002,NPU_00160,equal,2,settled,10
SHR_00002656,NPE_00002656,NPG_00005,NPU_00133,equal,4,settled,8
SHR_00002657,NPE_00002657,NPG_00009,NPU_00201,equal,4,settled,4
SHR_00002658,NPE_00002658,NPG_00021,NPU_00295,equal,5,settled,7
SHR_00002659,NPE_00002659,NPG_00025,NPU_00270,equal,5,settled,5
SHR_00002660,NPE_00002660,NPG_00034,NPU_00216,percentage,2,settled,6
SHR_00002661,NPE_00002661,NPG_00037,NPU_00134,percentage,3,settled,1
SHR_00002662,NPE_00002662,NPG_00041,NPU_00144,equal,3,settled,0
SHR_00002663,NPE_00002663,NPG_00046,NPU_00252,percentage,4,settled,8
SHR_00002664,NPE_00002664,NPG_00049,NPU_00187,custom,8,settled,12
SHR_00002665,NPE_00002665,NPG_00051,NPU_00115,equal,4,settled,18
SHR_00002666,NPE_00002666,NPG_00057,NPU_00160,equal,9,settled,10
SHR_00002667,NPE_00002667,NPG_00058,NPU_00296,custom,6,settled,1
SHR_00002668,NPE_00002668,NPG_00065,NPU_00281,equal,5,settled,11
SHR_00002669,NPE_00002669,NPG_00068,NPU_00298,custom,7,settled,16
SHR_00002670,NPE_00002670,NPG_00082,NPU_00096,equal,7,settled,10
SHR_00002671,NPE_00002671,NPG_00083,NPU_00291,equal,4,settled,12
SHR_00002672,NPE_00002672,NPG_00088,NPU_00117,equal,6,settled,15
SHR_00002673,NPE_00002673,NPG_00089,NPU_00247,custom,6,settled,15
SHR_00002674,NPE_00002674,NPG_00098,NPU_00137,equal,3,settled,10
SHR_00002675,NPE_00002675,NPG_00100,NPU_00013,percentage,2,settled,0
SHR_00002676,NPE_00002676,NPG_00103,NPU_00192,equal,4,settled,10
SHR_00002677,NPE_00002677,NPG_00111,NPU_00075,equal,3,settled,15
SHR_00002678,NPE_00002678,NPG_00114,NPU_00290,equal,3,settled,8
SHR_00003236,NPE_00003236,NPG_00006,NPU_00159,equal,6,settled,5
SHR_00003237,NPE_00003237,NPG_00009,NPU_00155,equal,4,settled,9
SHR_00003238,NPE_00003238,NPG_00010,NPU_00056,percentage,10,settled,7
SHR_00003239,NPE_00003239,NPG_00016,NPU_00280,custom,4,settled,0
SHR_00003240,NPE_00003240,NPG_00017,NPU_00293,equal,4,settled,2
SHR_00003241,NPE_00003241,NPG_00022,NPU_00198,equal,4,settled,2
SHR_00003242,NPE_00003242,NPG_00025,NPU_00059,equal,5,settled,6
SHR_00003243,NPE_00003243,NPG_00028,NPU_00193,equal,5,settled,1
SHR_00003244,NPE_00003244,NPG_00032,NPU_00268,equal,6,settled,7
SHR_00003245,NPE_00003245,NPG_00034,NPU_00112,percentage,2,settled,7
SHR_00003246,NPE_00003246,NPG_00039,NPU_00258,equal,3,settled,5
SHR_00003247,NPE_00003247,NPG_00041,NPU_00116,equal,3,settled,11
SHR_00003248,NPE_00003248,NPG_00044,NPU_00045,equal,7,settled,8
SHR_00003249,NPE_00003249,NPG_00049,NPU_00100,custom,8,settled,8
SHR_00003250,NPE_00003250,NPG_00051,NPU_00096,equal,4,settled,7
SHR_00003251,NPE_00003251,NPG_00052,NPU_00176,equal,3,settled,10
SHR_00003252,NPE_00003252,NPG_00057,NPU_00079,equal,9,settled,17
SHR_00003253,NPE_00003253,NPG_00067,NPU_00259,equal,6,settled,6
SHR_00003254,NPE_00003254,NPG_00075,NPU_00259,equal,10,settled,6
