budget_id,user_id,category,monthly_budget_npr
BUD_NPU_00001_rent,NPU_00001,rent,280.29
BUD_NPU_00001_groceries,NPU_00001,groceries,18919.37
BUD_NPU_00001_restaurants_cafes,NPU_00001,restaurants_cafes,38679.59
BUD_NPU_00001_transport_public,NPU_00001,transport_public,17517.93
BUD_NPU_00001_transport_ride_hailing,NPU_00001,transport_ride_hailing,9810.04
BUD_NPU_00001_fuel,NPU_00001,fuel,6306.46
BUD_NPU_00001_internet_mobile,NPU_00001,internet_mobile,1681.72
BUD_NPU_00001_utilities,NPU_00001,utilities,1401.43
BUD_NPU_00001_education,NPU_00001,education,981.0
BUD_NPU_00001_health,NPU_00001,health,2522.58
BUD_NPU_00001_family_support,NPU_00001,family_support,700.72
BUD_NPU_00001_loan_emi,NPU_00001,loan_emi,420.43
BUD_NPU_00001_festivals_gifts,NPU_00001,festivals_gifts,981.0
BUD_NPU_00001_clothing,NPU_00001,clothing,3924.02
BUD_NPU_00001_travel,NPU_00001,travel,735.75
BUD_NPU_00001_subscriptions,NPU_00001,subscriptions,1121.15
BUD_NPU_00001_savings_investment,NPU_00001,savings_investment,560.57
BUD_NPU_00001_entertainment,NPU_00001,entertainment,14644.99
BUD_NPU_00001_miscellaneous,NPU_00001,miscellaneous,7007.17
BUD_NPU_00002_rent,NPU_00002,rent,218.13
BUD_NPU_00002_groceries,NPU_00002,groceries,14724.0
BUD_NPU_00002_restaurants_cafes,NPU_00002,restaurants_cafes,30102.4
BUD_NPU_00002_transport_public,NPU_00002,transport_public,13633.33
BUD_NPU_00002_transport_ride_hailing,NPU_00002,transport_ride_hailing,7634.67
BUD_NPU_00002_fuel,NPU_00002,fuel,4908.0
BUD_NPU_00002_internet_mobile,NPU_00002,internet_mobile,1308.8
BUD_NPU_00002_utilities,NPU_00002,utilities,1090.67
BUD_NPU_00002_education,NPU_00002,education,763.47
BUD_NPU_00002_health,NPU_00002,health,1963.2
BUD_NPU_00002_family_support,NPU_00002,family_support,545.33
BUD_NPU_00002_loan_emi,NPU_00002,loan_emi,327.2
BUD_NPU_00002_festivals_gifts,NPU_00002,festivals_gifts,763.47
BUD_NPU_00002_clothing,NPU_00002,clothing,3053.87
BUD_NPU_00002_travel,NPU_00002,travel,572.6
BUD_NPU_00002_subscriptions,NPU_00002,subscriptions,872.53
BUD_NPU_00002_savings_investment,NPU_00002,savings_investment,436.27
BUD_NPU_00002_entertainment,NPU_00002,entertainment,11397.47
