split_id,expense_id,group_id,user_id,owed_amount_npr,paid_by_user_id,settlement_status
SPL_NPE_00000128_NPU_00075,NPE_00000128,NPG_00004,NPU_00075,1045.89,NPU_00058,settled
SPL_NPE_00000128_NPU_00059,NPE_00000128,NPG_00004,NPU_00059,1045.89,NPU_00058,settled
SPL_NPE_00000128_NPU_00058,NPE_00000128,NPG_00004,NPU_00058,1045.89,NPU_00058,paid_by_self
SPL_NPE_00000128_NPU_00071,NPE_00000128,NPG_00004,NPU_00071,1045.89,NPU_00058,settled
SPL_NPE_00000128_NPU_00073,NPE_00000128,NPG_00004,NPU_00073,1045.89,NPU_00058,settled
SPL_NPE_00000128_NPU_00001,NPE_00000128,NPG_00004,NPU_00001,1045.89,NPU_00058,settled
SPL_NPE_00000128_NPU_00064,NPE_00000128,NPG_00004,NPU_00064,1045.89,NPU_00058,settled
SPL_NPE_00000128_NPU_00056,NPE_00000128,NPG_00004,NPU_00056,1045.89,NPU_00058,settled
SPL_NPE_00000129_NPU_00019,NPE_00000129,NPG_00006,NPU_00019,1547.25,NPU_00054,settled
SPL_NPE_00000129_NPU_00047,NPE_00000129,NPG_00006,NPU_00047,1547.25,NPU_00054,settled
SPL_NPE_00000129_NPU_00029,NPE_00000129,NPG_00006,NPU_00029,1547.25,NPU_00054,settled
SPL_NPE_00000129_NPU_00054,NPE_00000129,NPG_00006,NPU_00054,1547.25,NPU_00054,paid_by_self
SPL_NPE_00000130_NPU_00073,NPE_00000130,NPG_00016,NPU_00073,2260.0,NPU_00035,settled
SPL_NPE_00000130_NPU_00047,NPE_00000130,NPG_00016,NPU_00047,2260.0,NPU_00035,settled
SPL_NPE_00000130_NPU_00075,NPE_00000130,NPG_00016,NPU_00075,2260.0,NPU_00035,settled
SPL_NPE_00000130_NPU_00035,NPE_00000130,NPG_00016,NPU_00035,2260.0,NPU_00035,paid_by_self
SPL_NPE_00000131_NPU_00058,NPE_00000131,NPG_00023,NPU_00058,351.26,NPU_00001,settled
SPL_NPE_00000131_NPU_00001,NPE_00000131,NPG_00023,NPU_00001,351.26,NPU_00001,paid_by_self
SPL_NPE_00000131_NPU_00040,NPE_00000131,NPG_00023,NPU_00040,351.26,NPU_00001,settled
SPL_NPE_00000132_NPU_00078,NPE_00000132,NPG_00025,NPU_00078,7646.31,NPU_00080,settled
SPL_NPE_00000132_NPU_00044,NPE_00000132,NPG_00025,NPU_00044,7646.31,NPU_00080,settled
SPL_NPE_00000132_NPU_00022,NPE_00000132,NPG_00025,NPU_00022,7646.31,NPU_00080,settled
SPL_NPE_00000132_NPU_00020,NPE_00000132,NPG_00025,NPU_00020,7646.31,NPU_00080,settled
SPL_NPE_00000132_NPU_00080,NPE_00000132,NPG_00025,NPU_00080,7646.31,NPU_00080,paid_by_self
SPL_NPE_00000132_NPU_00001,NPE_00000132,NPG_00025,NPU_00001,7646.31,NPU_00080,settled
SPL_NPE_00000132_NPU_00002,NPE_00000132,NPG_00025,NPU_00002,7646.31,NPU_00080,settled
SPL_NPE_00000132_NPU_00018,NPE_00000132,NPG_00025,NPU_00018,7646.31,NPU_00080,settled
SPL_NPE_00000132_NPU_00026,NPE_00000132,NPG_00025,NPU_00026,7646.31,NPU_00080,settled
SPL_NPE_00000132_NPU_00061,NPE_00000132,NPG_00025,NPU_00061,7646.31,NPU_00080,settled
SPL_NPE_00000133_NPU_00058,NPE_00000133,NPG_00028,NPU_00058,293.92,NPU_00050,settled
SPL_NPE_00000133_NPU_00050,NPE_00000133,NPG_00028,NPU_00050,293.92,NPU_00050,paid_by_self
SPL_NPE_00000133_NPU_00008,NPE_00000133,NPG_00028,NPU_00008,293.92,NPU_00050,settled
SPL_NPE_00000133_NPU_00027,NPE_00000133,NPG_00028,NPU_00027,293.92,NPU_00050,settled
SPL_NPE_00000213_NPU_00028,NPE_00000213,NPG_00009,NPU_00028,941.62,NPU_00028,paid_by_self
SPL_NPE_00000213_NPU_00012,NPE_00000213,NPG_00009,NPU_00012,941.62,NPU_00028,settled
SPL_NPE_00000214_NPU_00019,NPE_00000214,NPG_00010,NPU_00019,703.64,NPU_00041,settled
SPL_NPE_00000214_NPU_00041,NPE_00000214,NPG_00010,NPU_00041,703.64,NPU_00041,paid_by_self
SPL_NPE_00000215_NPU_00054,NPE_00000215,NPG_00015,NPU_00054,986.71,NPU_00012,settled
SPL_NPE_00000215_NPU_00012,NPE_00000215,NPG_00015,NPU_00012,986.71,NPU_00012,paid_by_self
SPL_NPE_00000215_NPU_00071,NPE_00000215,NPG_00015,NPU_00071,986.71,NPU_00012,settled
SPL_NPE_00000215_NPU_00065,NPE_00000215,NPG_00015,NPU_00065,986.71,NPU_00012,settled
