expense_id,user_id,date,amount_original,currency_code,exchange_rate_to_npr,amount_npr,category,subcategory,merchant_name,payment_method,is_shared,group_id,is_recurring,is_essential,note_quality,logged_delay_hours,festival_context,created_at
NPE_00000001,NPU_00001,2023-01-01,2676.31,NPR,1.0,2676.31,restaurants_cafes,restaurants_cafes,,khalti,False,,False,False,clear,1,,2023-01-01T00:00:00
NPE_00000002,NPU_00001,2023-01-01,1501.43,NPR,1.0,1501.43,restaurants_cafes,restaurants_cafes,restaurants_cafes_merchant,esewa,False,,False,False,missing,3,,2023-01-01T00:00:00
NPE_00000003,NPU_00002,2023-01-01,11641.6,NPR,1.0,11641.6,rent,rent,rent_provider,credit_card,False,,True,True,clear,3,,2023-01-01T00:00:00
NPE_00000004,NPU_00002,2023-01-01,1412.72,NPR,1.0,1412.72,restaurants_cafes,restaurants_cafes,,cash,False,,False,False,clear,1,,2023-01-01T00:00:00
NPE_00000005,NPU_00003,2023-01-01,722.22,NPR,1.0,722.22,fuel,fuel,fuel_merchant,esewa,False,,False,True,clear,1,,2023-01-01T00:00:00
NPE_00000006,NPU_00004,2023-01-01,27491.89,NPR,1.0,27491.89,rent,rent,rent_provider,debit_card,False,,True,True,clear,0,,2023-01-01T00:00:00
NPE_00000007,NPU_00005,2023-01-01,39171.38,NPR,1.0,39171.38,rent,rent,rent_provider,bank_transfer,False,,True,True,clear,3,,2023-01-01T00:00:00
NPE_00000008,NPU_00006,2023-01-01,16414.14,NPR,1.0,16414.14,rent,rent,rent_provider,cash,False,,True,True,clear,0,,2023-01-01T00:00:00
NPE_00000009,NPU_00006,2023-01-01,61.26,NPR,1.0,61.26,transport_public,transport_public,transport_public_merchant,esewa,False,,False,True,short,3,,2023-01-01T00:00:00
NPE_00000010,NPU_00007,2023-01-01,42964.73,NPR,1.0,42964.73,rent,rent,rent_provider,fonepay_qr,False,,True,True,clear,0,,2023-01-01T00:00:00
NPE_00000011,NPU_00007,2023-01-01,253.77,NPR,1.0,253.77,transport_ride_hailing,transport_ride_hailing,transport_ride_hailing_merchant,khalti,False,,False,False,clear,0,,2023-01-01T00:00:00
NPE_00000012,NPU_00007,2023-01-01,77.75,NPR,1.0,77.75,transport_public,transport_public,,esewa,False,,False,True,missing,8,,2023-01-01T00:00:00
