goal_id,user_id,goal_type,target_amount_npr,monthly_target_npr
GOAL_NPU_00001,NPU_00001,debt_reduction,872306.18,7175.0
GOAL_NPU_00002,NPU_00002,emergency_fund,653935.88,4705.0
GOAL_NPU_00003,NPU_00003,emergency_fund,242929.02,11152.0
GOAL_NPU_00004,NPU_00004,device_purchase,83223.22,740.0
GOAL_NPU_00005,NPU_00005,debt_reduction,102070.0,1224.0
GOAL_NPU_00006,NPU_00006,travel,1005574.13,22610.0
GOAL_NPU_00007,NPU_00007,debt_reduction,1037767.63,13024.0
GOAL_NPU_00008,NPU_00008,debt_reduction,1359210.75,25080.0
GOAL_NPU_00009,NPU_00009,debt_reduction,291523.77,11304.0
GOAL_NPU_00010,NPU_00010,education,219165.8,2130.0
GOAL_NPU_00011,NPU_00011,education,773437.51,21050.0
GOAL_NPU_00012,NPU_00012,device_purchase,809932.03,6555.0
GOAL_NPU_00013,NPU_00013,device_purchase,242221.66,1220.0
GOAL_NPU_00014,NPU_00014,device_purchase,136819.18,820.0
GOAL_NPU_00015,NPU_00015,device_purchase,265338.96,4005.0
GOAL_NPU_00016,NPU_00016,debt_reduction,70152.85,992.0
GOAL_NPU_00017,NPU_00017,device_purchase,239112.16,13118.0
GOAL_NPU_00018,NPU_00018,travel,93493.65,3600.0
GOAL_NPU_00019,NPU_00019,travel,1194300.01,38004.0
GOAL_NPU_00020,NPU_00020,device_purchase,135775.77,7546.0
GOAL_NPU_00021,NPU_00021,emergency_fund,116898.67,6566.0
GOAL_NPU_00022,NPU_00022,device_purchase,1011204.93,16896.0
GOAL_NPU_00023,NPU_00023,education,864275.09,14784.0
GOAL_NPU_00024,NPU_00024,debt_reduction,166847.63,5560.0
GOAL_NPU_00025,NPU_00025,debt_reduction,91231.89,4120.0
GOAL_NPU_00026,NPU_00026,device_purchase,296495.46,8792.0
GOAL_NPU_00027,NPU_00027,debt_reduction,212994.54,7238.0
GOAL_NPU_00028,NPU_00028,travel,132788.41,918.0
GOAL_NPU_00029,NPU_00029,education,735096.64,22610.0
GOAL_NPU_00030,NPU_00030,travel,172821.94,6104.0
GOAL_NPU_00031,NPU_00031,travel,393483.18,7930.0
GOAL_NPU_00032,NPU_00032,education,419002.53,4672.0
GOAL_NPU_00033,NPU_00033,emergency_fund,261759.09,1770.0
GOAL_NPU_00034,NPU_00034,device_purchase,985879.66,8730.0
GOAL_NPU_00035,NPU_00035,travel,165078.05,4900.0
GOAL_NPU_00036,NPU_00036,debt_reduction,230860.97,4956.0
GOAL_NPU_00037,NPU_00037,emergency_fund,305554.29,1416.0
GOAL_NPU_00038,NPU_00038,debt_reduction,716658.93,18108.0
GOAL_NPU_00039,NPU_00039,travel,516671.31,15064.0
GOAL_NPU_00040,NPU_00040,device_purchase,235581.04,5008.0
GOAL_NPU_00041,NPU_00041,device_purchase,119513.6,4088.0
GOAL_NPU_00042,NPU_00042,travel,82422.04,860.0
GOAL_NPU_00043,NPU_00043,education,170752.46,2680.0
GOAL_NPU_00044,NPU_00044,education,202372.09,840.0
GOAL_NPU_00045,NPU_00045,education,245422.54,1212.0
GOAL_NPU_00046,NPU_00046,device_purchase,384755.68,4080.0
GOAL_NPU_00047,NPU_00047,debt_reduction,169362.4,2495.0
GOAL_NPU_00048,NPU_00048,device_purchase,606903.55,13958.0
GOAL_NPU_00049,NPU_00049,education,364526.96,7980.0
GOAL_NPU_00050,NPU_00050,debt_reduction,726077.61,10080.0
GOAL_NPU_00051,NPU_00051,emergency_fund,504471.3,1929.0
GOAL_NPU_00052,NPU_00052,emergency_fund,145204.86,6080.0
GOAL_NPU_00053,NPU_00053,device_purchase,52068.94,880.0
GOAL_NPU_00054,NPU_00054,education,372494.09,4632.0
GOAL_NPU_00055,NPU_00055,travel,423393.89,4135.0
GOAL_NPU_00056,NPU_00056,emergency_fund,262347.75,8240.0
GOAL_NPU_00057,NPU_00057,emergency_fund,220955.49,3600.0
GOAL_NPU_00058,NPU_00058,emergency_fund,1967181.07,38028.0
GOAL_NPU_00059,NPU_00059,emergency_fund,923639.59,22610.0
GOAL_NPU_00060,NPU_00060,education,431912.61,32052.0
GOAL_NPU_00061,NPU_00061,travel,786842.98,3084.0
GOAL_NPU_00062,NPU_00062,travel,99431.36,3152.0
GOAL_NPU_00063,NPU_00063,education,392071.15,2720.0
GOAL_NPU_00064,NPU_00064,education,649171.92,17460.0
GOAL_NPU_00065,NPU_00065,debt_reduction,764933.58,11610.0
GOAL_NPU_00066,NPU_00066,debt_reduction,70464.74,1712.0
GOAL_NPU_00067,NPU_00067,education,775244.4,8550.0
GOAL_NPU_00068,NPU_00068,education,335885.88,6440.0
GOAL_NPU_00069,NPU_00069,education,1473758.05,15808.0
GOAL_NPU_00070,NPU_00070,emergency_fund,731429.89,14536.0
GOAL_NPU_00071,NPU_00071,device_purchase,119903.58,680.0
GOAL_NPU_00072,NPU_00072,education,37734.58,320.0
GOAL_NPU_00073,NPU_00073,debt_reduction,791600.87,9336.0
GOAL_NPU_00074,NPU_00074,device_purchase,173423.37,2085.0
GOAL_NPU_00075,NPU_00075,travel,1399248.82,28248.0
GOAL_NPU_00076,NPU_00076,travel,349134.81,14294.0
GOAL_NPU_00077,NPU_00077,device_purchase,98342.12,1200.0
GOAL_NPU_00078,NPU_00078,travel,517830.45,2445.0
GOAL_NPU_00079,NPU_00079,emergency_fund,718822.35,17904.0
GOAL_NPU_00080,NPU_00080,debt_reduction,331184.43,13416.0
