membership_id,group_id,user_id,joined_date,role
MEM_NPG_00001_NPU_00022,NPG_00001,NPU_00022,2023-01-01,member
MEM_NPG_00001_NPU_00079,NPG_00001,NPU_00079,2023-01-01,member
MEM_NPG_00001_NPU_00056,NPG_00001,NPU_00056,2023-01-01,member
MEM_NPG_00002_NPU_00005,NPG_00002,NPU_00005,2023-01-01,member
MEM_NPG_00002_NPU_00054,NPG_00002,NPU_00054,2023-01-01,member
MEM_NPG_00002_NPU_00046,NPG_00002,NPU_00046,2023-01-01,member
MEM_NPG_00002_NPU_00072,NPG_00002,NPU_00072,2023-01-01,member
MEM_NPG_00002_NPU_00060,NPG_00002,NPU_00060,2023-01-01,member
MEM_NPG_00002_NPU_00032,NPG_00002,NPU_00032,2023-01-01,member
MEM_NPG_00002_NPU_00063,NPG_00002,NPU_00063,2023-01-01,member
MEM_NPG_00002_NPU_00067,NPG_00002,NPU_00067,2023-01-01,member
MEM_NPG_00003_NPU_00020,NPG_00003,NPU_00020,2023-01-01,member
MEM_NPG_00003_NPU_00034,NPG_00003,NPU_00034,2023-01-01,member
MEM_NPG_00003_NPU_00039,NPG_00003,NPU_00039,2023-01-01,member
MEM_NPG_00004_NPU_00075,NPG_00004,NPU_00075,2023-01-01,member
MEM_NPG_00004_NPU_00059,NPG_00004,NPU_00059,2023-01-01,member
MEM_NPG_00004_NPU_00058,NPG_00004,NPU_00058,2023-01-01,member
MEM_NPG_00004_NPU_00071,NPG_00004,NPU_00071,2023-01-01,member
MEM_NPG_00004_NPU_00073,NPG_00004,NPU_00073,2023-01-01,member
MEM_NPG_00004_NPU_00001,NPG_00004,NPU_00001,2023-01-01,member
MEM_NPG_00004_NPU_00064,NPG_00004,NPU_00064,2023-01-01,member
MEM_NPG_00004_NPU_00056,NPG_00004,NPU_00056,2023-01-01,member
MEM_NPG_00005_NPU_00046,NPG_00005,NPU_00046,2023-01-01,member
MEM_NPG_00005_NPU_00013,NPG_00005,NPU_00013,2023-01-01,member
MEM_NPG_00005_NPU_00066,NPG_00005,NPU_00066,2023-01-01,member
MEM_NPG_00005_NPU_00026,NPG_00005,NPU_00026,2023-01-01,member
MEM_NPG_00006_NPU_00019,NPG_00006,NPU_00019,2023-01-01,member
MEM_NPG_00006_NPU_00047,NPG_00006,NPU_00047,2023-01-01,member
MEM_NPG_00006_NPU_00029,NPG_00006,NPU_00029,2023-01-01,member
MEM_NPG_00006_NPU_00054,NPG_00006,NPU_00054,2023-01-01,member
MEM_NPG_00007_NPU_00003,NPG_00007,NPU_00003,2023-01-01,member
MEM_NPG_00007_NPU_00015,NPG_00007,NPU_00015,2023-01-01,member
MEM_NPG_00007_NPU_00071,NPG_00007,NPU_00071,2023-01-01,member
MEM_NPG_00007_NPU_00072,NPG_00007,NPU_00072,2023-01-01,member
MEM_NPG_00007_NPU_00067,NPG_00007,NPU_00067,2023-01-01,member
MEM_NPG_00007_NPU_00054,NPG_00007,NPU_00054,2023-01-01,member
MEM_NPG_00007_NPU_00055,NPG_00007,NPU_00055,2023-01-01,member
MEM_NPG_00007_NPU_00047,NPG_00007,NPU_00047,2023-01-01,member
MEM_NPG_00007_NPU_00004,NPG_00007,NPU_00004,2023-01-01,member
MEM_NPG_00007_NPU_00020,NPG_00007,NPU_00020,2023-01-01,member
MEM_NPG_00008_NPU_00028,NPG_00008,NPU_00028,2023-01-01,member
MEM_NPG_00008_NPU_00051,NPG_00008,NPU_00051,2023-01-01,member
MEM_NPG_00008_NPU_00017,NPG_00008,NPU_00017,2023-01-01,member
MEM_NPG_00008_NPU_00060,NPG_00008,NPU_00060,2023-01-01,member
MEM_NPG_00008_NPU_00055,NPG_00008,NPU_00055,2023-01-01,member
MEM_NPG_00008_NPU_00069,NPG_00008,NPU_00069,2023-01-01,member
MEM_NPG_00009_NPU_00028,NPG_00009,NPU_00028,2023-01-01,member
MEM_NPG_00009_NPU_00012,NPG_00009,NPU_00012,2023-01-01,member
MEM_NPG_00010_NPU_00019,NPG_00010,NPU_00019,2023-01-01,member
MEM_NPG_00010_NPU_00041,NPG_00010,NPU_00041,2023-01-01,member
MEM_NPG_00011_NPU_00040,NPG_00011,NPU_00040,2023-01-01,member
MEM_NPG_00011_NPU_00041,NPG_00011,NPU_00041,2023-01-01,member
MEM_NPG_00011_NPU_00036,NPG_00011,NPU_00036,2023-01-01,member
MEM_NPG_00011_NPU_00053,NPG_00011,NPU_00053,2023-01-01,member
MEM_NPG_00011_NPU_00004,NPG_00011,NPU_00004,2023-01-01,member
MEM_NPG_00011_NPU_00059,NPG_00011,NPU_00059,2023-01-01,member
MEM_NPG_00012_NPU_00020,NPG_00012,NPU_00020,2023-01-01,member
MEM_NPG_00012_NPU_00015,NPG_00012,NPU_00015,2023-01-01,member
MEM_NPG_00012_NPU_00070,NPG_00012,NPU_00070,2023-01-01,member
MEM_NPG_00013_NPU_00003,NPG_00013,NPU_00003,2023-01-01,member
MEM_NPG_00013_NPU_00077,NPG_00013,NPU_00077,2023-01-01,member
MEM_NPG_00013_NPU_00066,NPG_00013,NPU_00066,2023-01-01,member
MEM_NPG_00014_NPU_00028,NPG_00014,NPU_00028,2023-01-01,member
MEM_NPG_00014_NPU_00067,NPG_00014,NPU_00067,2023-01-01,member
MEM_NPG_00014_NPU_00019,NPG_00014,NPU_00019,2023-01-01,member
MEM_NPG_00014_NPU_00007,NPG_00014,NPU_00007,2023-01-01,member
MEM_NPG_00015_NPU_00054,NPG_00015,NPU_00054,2023-01-01,member
MEM_NPG_00015_NPU_00012,NPG_00015,NPU_00012,2023-01-01,member
MEM_NPG_00015_NPU_00071,NPG_00015,NPU_00071,2023-01-01,member
MEM_NPG_00015_NPU_00065,NPG_00015,NPU_00065,2023-01-01,member
MEM_NPG_00015_NPU_00047,NPG_00015,NPU_00047,2023-01-01,member
MEM_NPG_00016_NPU_00073,NPG_00016,NPU_00073,2023-01-01,member
MEM_NPG_00016_NPU_00047,NPG_00016,NPU_00047,2023-01-01,member
MEM_NPG_00016_NPU_00075,NPG_00016,NPU_00075,2023-01-01,member
MEM_NPG_00016_NPU_00035,NPG_00016,NPU_00035,2023-01-01,member
MEM_NPG_00017_NPU_00054,NPG_00017,NPU_00054,2023-01-01,member
MEM_NPG_00017_NPU_00071,NPG_00017,NPU_00071,2023-01-01,member
MEM_NPG_00017_NPU_00067,NPG_00017,NPU_00067,2023-01-01,member
MEM_NPG_00017_NPU_00042,NPG_00017,NPU_00042,2023-01-01,member
MEM_NPG_00017_NPU_00052,NPG_00017,NPU_00052,2023-01-01,member
MEM_NPG_00017_NPU_00003,NPG_00017,NPU_00003,2023-01-01,member
MEM_NPG_00017_NPU_00023,NPG_00017,NPU_00023,2023-01-01,member
MEM_NPG_00018_NPU_00075,NPG_00018,NPU_00075,2023-01-01,member
MEM_NPG_00018_NPU_00002,NPG_00018,NPU_00002,2023-01-01,member
MEM_NPG_00018_NPU_00076,NPG_00018,NPU_00076,2023-01-01,member
MEM_NPG_00018_NPU_00029,NPG_00018,NPU_00029,2023-01-01,member
MEM_NPG_00019_NPU_00021,NPG_00019,NPU_00021,2023-01-01,member
MEM_NPG_00019_NPU_00038,NPG_00019,NPU_00038,2023-01-01,member
MEM_NPG_00019_NPU_00059,NPG_00019,NPU_00059,2023-01-01,member
MEM_NPG_00020_NPU_00056,NPG_00020,NPU_00056,2023-01-01,member
MEM_NPG_00020_NPU_00059,NPG_00020,NPU_00059,2023-01-01,member
MEM_NPG_00020_NPU_00040,NPG_00020,NPU_00040,2023-01-01,member
MEM_NPG_00020_NPU_00052,NPG_00020,NPU_00052,2023-01-01,member
MEM_NPG_00020_NPU_00020,NPG_00020,NPU_00020,2023-01-01,member
MEM_NPG_00021_NPU_00068,NPG_00021,NPU_00068,2023-01-01,member
MEM_NPG_00021_NPU_00080,NPG_00021,NPU_00080,2023-01-01,member
MEM_NPG_00021_NPU_00021,NPG_00021,NPU_00021,2023-01-01,member
MEM_NPG_00021_NPU_00007,NPG_00021,NPU_00007,2023-01-01,member
MEM_NPG_00021_NPU_00008,NPG_00021,NPU_00008,2023-01-01,member
MEM_NPG_00021_NPU_00019,NPG_00021,NPU_00019,2023-01-01,member
MEM_NPG_00021_NPU_00032,NPG_00021,NPU_00032,2023-01-01,member
MEM_NPG_00022_NPU_00009,NPG_00022,NPU_00009,2023-01-01,member
MEM_NPG_00022_NPU_00049,NPG_00022,NPU_00049,2023-01-01,member
MEM_NPG_00023_NPU_00058,NPG_00023,NPU_00058,2023-01-01,member
MEM_NPG_00023_NPU_00001,NPG_00023,NPU_00001,2023-01-01,member
MEM_NPG_00023_NPU_00040,NPG_00023,NPU_00040,2023-01-01,member
MEM_NPG_00024_NPU_00058,NPG_00024,NPU_00058,2023-01-01,member
MEM_NPG_00024_NPU_00078,NPG_00024,NPU_00078,2023-01-01,member
MEM_NPG_00025_NPU_00078,NPG_00025,NPU_00078,2023-01-01,member
MEM_NPG_00025_NPU_00044,NPG_00025,NPU_00044,2023-01-01,member
MEM_NPG_00025_NPU_00022,NPG_00025,NPU_00022,2023-01-01,member
MEM_NPG_00025_NPU_00020,NPG_00025,NPU_00020,2023-01-01,member
MEM_NPG_00025_NPU_00080,NPG_00025,NPU_00080,2023-01-01,member
MEM_NPG_00025_NPU_00001,NPG_00025,NPU_00001,2023-01-01,member
MEM_NPG_00025_NPU_00002,NPG_00025,NPU_00002,2023-01-01,member
MEM_NPG_00025_NPU_00018,NPG_00025,NPU_00018,2023-01-01,member
MEM_NPG_00025_NPU_00026,NPG_00025,NPU_00026,2023-01-01,member
