group_id,group_type,created_date,default_split_method,activity_rate
NPG_00001,travel,2023-01-01,custom,0.06
NPG_00002,friends,2023-01-01,equal,0.22
NPG_00003,travel,2023-01-01,custom,0.06
NPG_00004,friends,2023-01-01,equal,0.22
NPG_00005,family,2023-01-01,equal,0.16
NPG_00006,friends,2023-01-01,equal,0.22
NPG_00007,office,2023-01-01,equal,0.12
NPG_00008,friends,2023-01-01,equal,0.22
NPG_00009,flatmates,2023-01-01,equal,0.28
NPG_00010,flatmates,2023-01-01,equal,0.28
NPG_00011,event,2023-01-01,equal,0.04
NPG_00012,travel,2023-01-01,equal,0.06
NPG_00013,friends,2023-01-01,custom,0.22
NPG_00014,friends,2023-01-01,equal,0.22
NPG_00015,friends,2023-01-01,equal,0.22
NPG_00016,flatmates,2023-01-01,equal,0.28
NPG_00017,family,2023-01-01,equal,0.16
NPG_00018,travel,2023-01-01,custom,0.06
NPG_00019,flatmates,2023-01-01,percentage,0.28
NPG_00020,office,2023-01-01,percentage,0.12
NPG_00021,friends,2023-01-01,equal,0.22
NPG_00022,travel,2023-01-01,equal,0.06
NPG_00023,flatmates,2023-01-01,equal,0.28
NPG_00024,flatmates,2023-01-01,equal,0.28
NPG_00025,office,2023-01-01,equal,0.12
NPG_00026,family,2023-01-01,equal,0.16
NPG_00027,travel,2023-01-01,custom,0.06
NPG_00028,flatmates,2023-01-01,equal,0.28
NPG_00029,office,2023-01-01,equal,0.12
NPG_00030,family,2023-01-01,custom,0.16
