recurring_id,user_id,category,expected_amount_npr,frequency,payment_method
REC_NPE_00000003,NPU_00002,rent,11641.6,monthly,credit_card
REC_NPE_00000006,NPU_00004,rent,27491.89,monthly,debit_card
REC_NPE_00000007,NPU_00005,rent,39171.38,monthly,bank_transfer
REC_NPE_00000008,NPU_00006,rent,16414.14,monthly,cash
REC_NPE_00000010,NPU_00007,rent,42964.73,monthly,fonepay_qr
REC_NPE_00000014,NPU_00009,rent,43686.53,monthly,cash
REC_NPE_00000016,NPU_00010,rent,47764.42,monthly,cash
REC_NPE_00000018,NPU_00012,rent,15752.4,monthly,cash
REC_NPE_00000020,NPU_00013,rent,12713.82,monthly,cash
REC_NPE_00000024,NPU_00015,rent,52360.0,monthly,cash
REC_NPE_00000032,NPU_00019,rent,26647.29,monthly,bank_transfer
REC_NPE_00000034,NPU_00020,rent,22783.16,monthly,bank_transfer
REC_NPE_00000038,NPU_00022,rent,62475.0,monthly,esewa
REC_NPE_00000043,NPU_00025,rent,71307.16,monthly,cash
REC_NPE_00000045,NPU_00026,rent,22358.41,monthly,khalti
REC_NPE_00000050,NPU_00031,rent,12038.66,monthly,fonepay_qr
REC_NPE_00000051,NPU_00033,rent,10760.42,monthly,khalti
REC_NPE_00000053,NPU_00035,rent,13865.89,monthly,cash
REC_NPE_00000058,NPU_00037,rent,26629.1,monthly,cash
REC_NPE_00000061,NPU_00039,rent,14152.97,monthly,esewa
REC_NPE_00000066,NPU_00043,rent,25695.79,monthly,cash
REC_NPE_00000071,NPU_00046,rent,20958.22,monthly,bank_transfer
REC_NPE_00000075,NPU_00048,rent,29907.81,monthly,fonepay_qr
REC_NPE_00000079,NPU_00049,rent,45894.29,monthly,esewa
REC_NPE_00000082,NPU_00051,rent,14462.99,monthly,fonepay_qr
REC_NPE_00000092,NPU_00057,rent,19288.77,monthly,esewa
REC_NPE_00000100,NPU_00061,rent,15311.04,monthly,cash
REC_NPE_00000106,NPU_00063,rent,17999.74,monthly,fonepay_qr
REC_NPE_00000108,NPU_00064,rent,16282.49,monthly,cash
REC_NPE_00000111,NPU_00066,rent,24521.92,monthly,bank_transfer
REC_NPE_00000112,NPU_00067,rent,28624.16,monthly,cash
REC_NPE_00000116,NPU_00072,rent,15943.12,monthly,esewa
REC_NPE_00000223,NPU_00006,savings_investment,24103.08,monthly,cash
REC_NPE_00000227,NPU_00009,savings_investment,9017.42,monthly,cash
REC_NPE_00000233,NPU_00011,savings_investment,21652.3,monthly,esewa
REC_NPE_00000235,NPU_00015,savings_investment,2853.41,monthly,cash
REC_NPE_00000237,NPU_00017,savings_investment,14279.12,monthly,bank_transfer
REC_NPE_00000240,NPU_00019,savings_investment,31189.92,monthly,debit_card
REC_NPE_00000244,NPU_00021,savings_investment,5786.67,monthly,fonepay_qr
REC_NPE_00000247,NPU_00022,savings_investment,12121.32,monthly,credit_card
REC_NPE_00000251,NPU_00026,savings_investment,10238.26,monthly,khalti
REC_NPE_00000259,NPU_00032,savings_investment,3842.19,monthly,esewa
REC_NPE_00000261,NPU_00035,savings_investment,4708.85,monthly,esewa
REC_NPE_00000263,NPU_00036,savings_investment,4237.34,monthly,khalti
REC_NPE_00000264,NPU_00038,savings_investment,17615.38,monthly,khalti
REC_NPE_00000266,NPU_00039,savings_investment,13445.66,monthly,esewa
REC_NPE_00000269,NPU_00040,savings_investment,6253.23,monthly,esewa
REC_NPE_00000270,NPU_00041,savings_investment,3086.05,monthly,cash
REC_NPE_00000273,NPU_00047,savings_investment,3093.22,monthly,fonepay_qr
REC_NPE_00000276,NPU_00049,savings_investment,5713.11,monthly,cash
REC_NPE_00000278,NPU_00050,savings_investment,12045.66,monthly,cash
REC_NPE_00000279,NPU_00051,savings_investment,2252.3,monthly,cash
REC_NPE_00000285,NPU_00055,savings_investment,3536.88,monthly,cash
REC_NPE_00000305,NPU_00069,savings_investment,11811.57,monthly,esewa
REC_NPE_00000310,NPU_00072,savings_investment,250.0,monthly,khalti
REC_NPE_00000311,NPU_00073,savings_investment,7279.12,monthly,khalti
REC_NPE_00000314,NPU_00075,savings_investment,25864.4,monthly,cash
REC_NPE_00000316,NPU_00076,savings_investment,14686.08,monthly,bank_transfer
REC_NPE_00000317,NPU_00079,savings_investment,21880.42,monthly,khalti
REC_NPE_00000318,NPU_00080,savings_investment,14149.06,monthly,cash
REC_NPE_00000402,NPU_00001,family_support,16921.94,monthly,khalti
REC_NPE_00000404,NPU_00003,family_support,7863.03,monthly,credit_card
REC_NPE_00000407,NPU_00004,family_support,29697.81,monthly,bank_transfer
REC_NPE_00000409,NPU_00006,family_support,8941.43,monthly,cash
REC_NPE_00000410,NPU_00007,family_support,27975.85,monthly,bank_transfer
REC_NPE_00000412,NPU_00008,family_support,16820.47,monthly,esewa
REC_NPE_00000413,NPU_00010,family_support,18536.85,monthly,cash
REC_NPE_00000415,NPU_00012,family_support,11494.25,monthly,esewa
REC_NPE_00000420,NPU_00018,family_support,42745.56,monthly,esewa
REC_NPE_00000422,NPU_00019,family_support,19665.57,monthly,bank_transfer
REC_NPE_00000423,NPU_00020,family_support,48093.89,monthly,cash
REC_NPE_00000425,NPU_00021,family_support,14159.86,monthly,esewa
REC_NPE_00000429,NPU_00025,family_support,21146.6,monthly,cash
REC_NPE_00000431,NPU_00026,family_support,11518.99,monthly,bank_transfer
REC_NPE_00000436,NPU_00031,family_support,46264.65,monthly,khalti
REC_NPE_00000442,NPU_00033,family_support,17363.47,monthly,khalti
REC_NPE_00000445,NPU_00035,family_support,22591.9,monthly,khalti
REC_NPE_00000453,NPU_00039,family_support,13163.64,monthly,bank_transfer
REC_NPE_00000455,NPU_00042,family_support,63609.6,monthly,cash
REC_NPE_00000467,NPU_00047,family_support,11318.12,monthly,cash
REC_NPE_00000470,NPU_00052,family_support,13238.93,monthly,cash
REC_NPE_00000471,NPU_00053,family_support,7006.37,monthly,cash
REC_NPE_00000472,NPU_00054,family_support,9452.68,monthly,khalti
REC_NPE_00000477,NPU_00058,family_support,22390.55,monthly,cash
REC_NPE_00000481,NPU_00061,family_support,25507.66,monthly,credit_card
REC_NPE_00000483,NPU_00062,family_support,72547.59,monthly,bank_transfer
REC_NPE_00000484,NPU_00063,family_support,6838.07,monthly,cash
REC_NPE_00000487,NPU_00064,family_support,12148.82,monthly,khalti
REC_NPE_00000490,NPU_00065,family_support,8681.47,monthly,bank_transfer
REC_NPE_00000492,NPU_00066,family_support,30598.92,monthly,cash
REC_NPE_00000493,NPU_00067,family_support,10799.43,monthly,cash
REC_NPE_00000494,NPU_00068,family_support,10690.8,monthly,cash
REC_NPE_00000502,NPU_00071,family_support,9976.67,monthly,fonepay_qr
REC_NPE_00000504,NPU_00072,family_support,13869.47,monthly,cash
REC_NPE_00000505,NPU_00073,family_support,20690.9,monthly,khalti
REC_NPE_00000509,NPU_00076,family_support,24617.09,monthly,khalti
REC_NPE_00000510,NPU_00077,family_support,25803.68,monthly,cash
REC_NPE_00000513,NPU_00078,family_support,50345.03,monthly,debit_card
REC_NPE_00000514,NPU_00079,family_support,8358.2,monthly,bank_transfer
REC_NPE_00000714,NPU_00001,utilities,9137.47,monthly,cash
REC_NPE_00000716,NPU_00002,utilities,2889.78,monthly,esewa
REC_NPE_00000719,NPU_00003,utilities,3044.83,monthly,esewa
REC_NPE_00000722,NPU_00004,utilities,1685.59,monthly,khalti
