shared_expense_id,expense_id,group_id,paid_by_user_id,split_type,participant_count,settlement_status,days_to_settle
SHR_00000128,NPE_00000128,NPG_00004,NPU_00058,equal,8,settled,12
SHR_00000129,NPE_00000129,NPG_00006,NPU_00054,equal,4,settled,14
SHR_00000130,NPE_00000130,NPG_00016,NPU_00035,equal,4,settled,7
SHR_00000131,NPE_00000131,NPG_00023,NPU_00001,equal,3,settled,6
SHR_00000132,NPE_00000132,NPG_00025,NPU_00080,equal,10,settled,8
SHR_00000133,NPE_00000133,NPG_00028,NPU_00050,equal,4,settled,6
SHR_00000213,NPE_00000213,NPG_00009,NPU_00028,equal,2,settled,1
SHR_00000214,NPE_00000214,NPG_00010,NPU_00041,equal,2,settled,6
SHR_00000215,NPE_00000215,NPG_00015,NPU_00012,equal,5,settled,5
SHR_00000216,NPE_00000216,NPG_00019,NPU_00059,percentage,3,settled,11
SHR_00000217,NPE_00000217,NPG_00020,NPU_00052,percentage,5,settled,16
SHR_00000218,NPE_00000218,NPG_00023,NPU_00040,equal,3,settled,6
SHR_00000219,NPE_00000219,NPG_00028,NPU_00008,equal,4,settled,3
SHR_00000319,NPE_00000319,NPG_00004,NPU_00056,equal,8,settled,15
SHR_00000320,NPE_00000320,NPG_00008,NPU_00060,equal,6,settled,9
SHR_00000321,NPE_00000321,NPG_00013,NPU_00066,custom,3,settled,4
SHR_00000322,NPE_00000322,NPG_00016,NPU_00073,equal,4,settled,5
SHR_00000323,NPE_00000323,NPG_00019,NPU_00038,percentage,3,settled,5
SHR_00000324,NPE_00000324,NPG_00020,NPU_00020,percentage,5,settled,5
SHR_00000325,NPE_00000325,NPG_00021,NPU_00080,equal,7,settled,7
SHR_00000326,NPE_00000326,NPG_00027,NPU_00062,custom,3,settled,11
SHR_00000393,NPE_00000393,NPG_00002,NPU_00032,equal,8,settled,5
SHR_00000394,NPE_00000394,NPG_00003,NPU_00020,custom,3,settled,7
SHR_00000395,NPE_00000395,NPG_00006,NPU_00019,equal,4,settled,6
SHR_00000396,NPE_00000396,NPG_00008,NPU_00055,equal,6,settled,6
SHR_00000397,NPE_00000397,NPG_00015,NPU_00065,equal,5,settled,10
SHR_00000398,NPE_00000398,NPG_00016,NPU_00073,equal,4,settled,7
SHR_00000399,NPE_00000399,NPG_00018,NPU_00076,custom,4,settled,8
SHR_00000400,NPE_00000400,NPG_00019,NPU_00038,percentage,3,settled,10
SHR_00000401,NPE_00000401,NPG_00023,NPU_00001,equal,3,settled,6
SHR_00000516,NPE_00000516,NPG_00002,NPU_00060,equal,8,settled,5
SHR_00000517,NPE_00000517,NPG_00014,NPU_00028,equal,4,settled,16
SHR_00000518,NPE_00000518,NPG_00017,NPU_00023,equal,7,settled,11
SHR_00000519,NPE_00000519,NPG_00019,NPU_00059,percentage,3,settled,4
SHR_00000520,NPE_00000520,NPG_00028,NPU_00027,equal,4,settled,0
SHR_00000608,NPE_00000608,NPG_00010,NPU_00019,equal,2,settled,18
SHR_00000609,NPE_00000609,NPG_00016,NPU_00035,equal,4,settled,10
SHR_00000610,NPE_00000610,NPG_00019,NPU_00059,percentage,3,settled,7
SHR_00000611,NPE_00000611,NPG_00020,NPU_00020,percentage,5,settled,11
SHR_00000612,NPE_00000612,NPG_00024,NPU_00078,equal,2,settled,2
SHR_00000706,NPE_00000706,NPG_00001,NPU_00056,custom,3,settled,5
SHR_00000707,NPE_00000707,NPG_00002,NPU_00046,equal,8,settled,8
SHR_00000708,NPE_00000708,NPG_00008,NPU_00028,equal,6,settled,14
